id,linkedAction,area,priority,owner,evidenceClass,privateLocation,publicDisclosure,retentionBoundary,defaultState,blocks
CUS-001,SAQ-001,Authority,P0,Meeting chair,Owner closeout evidence,Private owner minute/evidence vault only,Authority remains private and unresolved.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Required,Repeat P0 run
CUS-002,SAQ-002,Privacy,P0,Privacy reviewer,Privacy/control evidence,Private owner minute/evidence vault only,Privacy controls remain under private review.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Required,Privacy path
CUS-003,SAQ-003,Outbound email,P0,Privacy reviewer,Owner closeout evidence,Private owner minute/evidence vault only,No outbound email is active for real participants.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Required,Invite path
CUS-004,SAQ-004,IDS/data,P0,IDS/data reviewer,Owner closeout evidence,Private owner minute/evidence vault only,Data controls remain under private review.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Required,Data rights path
CUS-005,SAQ-005,Support,P0,Support owner,Owner closeout evidence,Private owner minute/evidence vault only,Support routes are not live services.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Required,Support path
CUS-006,SAQ-006,Official boundary,P0,Official-route owner,Owner closeout evidence,Private owner minute/evidence vault only,First Nations Toastmasters remains fake/sample-only.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Required,Official boundary
CUS-007,SAQ-007,Evidence,P0,IDS/data reviewer,Owner closeout evidence,Private owner minute/evidence vault only,Private evidence is not published.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Required,Public summary
CUS-008,SAQ-008,Provider,P0,Provider access owner,Provider boundary proof,Private owner minute/evidence vault only,"No provider has access to real participant, organisation, or Toastmasters records.","Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Required,Provider test
CUS-009,SAQ-009,FN Toastmasters,P1,Training owner,Owner closeout evidence,Private owner minute/evidence vault only,No official member service is active.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Queue,Training sample
CUS-010,SAQ-010,Security,P1,Security reviewer,Owner closeout evidence,Private owner minute/evidence vault only,No live Decidim access is approved.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Queue,Live access
CUS-011,SAQ-011,Access,P1,Security reviewer,Owner closeout evidence,Private owner minute/evidence vault only,No live admin access is approved.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Queue,Admin access
CUS-012,SAQ-012,Provider,P1,Provider access owner,Provider boundary proof,Private owner minute/evidence vault only,Provider review remains fake/sample-only.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Queue,Provider scope
CUS-013,SAQ-013,Barayamal,P2,Barayamal custodian,Owner closeout evidence,Private owner minute/evidence vault only,Barayamal remains controlled fake/sample.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Queue,Barayamal sample
CUS-014,SAQ-014,Communications,P2,Comms lead,Public release proof,Private owner minute/evidence vault only,Preparation continues; no pilot approved.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Queue,Public update
CUS-015,SAQ-015,Repeat run,P0,Authority chair,Owner closeout evidence,Private owner minute/evidence vault only,No pilot approved by this session.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Required,Repeat scheduling
CUS-016,SAQ-016,Final minutes,P0,Meeting chair,Owner closeout evidence,Private owner minute/evidence vault only,Private minute retained outside public package.,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Required,Session close
