"id","evidence","source","owner","status","decisionUse","publicBoundary"
"EVD-001","v4.7 rehearsal schedule","v4.7 package","Pilot owner","Ready","Show which sessions were ready, held, or blocked.","Counts and labels only."
"EVD-002","Owner signoff board","v4.7 package","Meeting chair","Ready","Seed v4.8 owner vote register.","No private reasons."
"EVD-003","Critical issue list","v4.7 issue triage","Pilot owner","Ready","Create blocker closure board.","Issue titles only."
"EVD-004","Acceptance scorecard","v4.7 package","Meeting chair","Ready","Identify blocked acceptance checks.","Aggregate status only."
"EVD-005","Barayamal sample workflow findings","Private rehearsal","Barayamal program operator","Hold","Decide repeat or hold.","Status only."
"EVD-006","Toastmasters guest workflow findings","Private rehearsal","Training owner","Hold","Decide guest-only repeat or hold.","Status only."
"EVD-007","Official-route boundary note","Private owner evidence","Official-route owner","Blocked","Close or hold member workflow gate.","Status only."
"EVD-008","Privacy notice and consent text","Private owner evidence","Privacy reviewer","Blocked","Close or hold private invite gate.","No text until approved."
"EVD-009","IDS/data lifecycle proof","Private owner evidence","IDS/data reviewer","Blocked","Close or hold real data processing gate.","Status only."
"EVD-010","Support drill record","Private owner evidence","Support owner","Blocked","Close or hold private invite gate.","No case detail."
"EVD-011","Local Decidim environment status","Manifest","Technical/admin custodian","Ready","Recommend provider-assisted or self-build prep.","Status categories only."
"EVD-012","Provider quote and terms","Private procurement","Provider access owner","Hold","Choose provider-assisted sandbox.","No price or terms public unless approved."
"EVD-013","Role revoke proof","Private technical test","Technical/admin custodian","Hold","Close access gate.","Status only."
"EVD-014","Backup/restore/delete proof","Private technical test","Technical/admin custodian","Blocked","Close lifecycle gate.","Status only."
"EVD-015","Public comms redaction check","Comms register","Comms lead","Ready","Approve public status update.","Approved line only."
"EVD-016","Decision meeting minutes","Private meeting","Meeting chair","Hold","Record hold/repeat/provider/no-go/archive decision.","Public outcome line only."
