id,linkedCustody,area,priority,owner,acceptanceState,privateLocation,retentionBoundary,publicDisclosure,acceptanceCondition,repeatImpact
ECA-001,CUS-001,Authority,P0,Meeting chair,Required,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Authority remains private and unresolved.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-002,CUS-002,Privacy,P0,Privacy reviewer,Hold,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Privacy controls remain under private review.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-003,CUS-003,Outbound email,P0,Privacy reviewer,Required,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",No outbound email is active for real participants.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-004,CUS-004,IDS/data,P0,IDS/data reviewer,Hold,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Data controls remain under private review.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-005,CUS-005,Support,P0,Support owner,Required,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Support routes are not live services.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-006,CUS-006,Official boundary,P0,Official-route owner,Required,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",First Nations Toastmasters remains fake/sample-only.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-007,CUS-007,Evidence,P0,IDS/data reviewer,Required,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Private evidence is not published.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-008,CUS-008,Provider,P0,Provider access owner,Hold,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.","No provider has access to real participant, organisation, or Toastmasters records.","Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-009,CUS-009,FN Toastmasters,P1,Training owner,Queue,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",No official member service is active.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-010,CUS-010,Security,P1,Security reviewer,Queue,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",No live Decidim access is approved.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-011,CUS-011,Access,P1,Security reviewer,Queue,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",No live admin access is approved.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-012,CUS-012,Provider,P1,Provider access owner,Hold,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Provider review remains fake/sample-only.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-013,CUS-013,Barayamal,P2,Barayamal custodian,Queue,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Barayamal remains controlled fake/sample.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-014,CUS-014,Communications,P2,Comms lead,Queue,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Preparation continues; no pilot approved.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-015,CUS-015,Repeat run,P0,Authority chair,Required,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",No pilot approved by this session.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
ECA-016,CUS-016,Final minutes,P0,Meeting chair,Required,Private owner minute/evidence vault only,"Do not publish private owner names, participant records, official Toastmasters records, credentials, or live access details.",Private minute retained outside public package.,"Owner must confirm private location, retention boundary, redaction rule, and public-safe disclosure before repeat scheduling.",Can trail repeat P0 run after owner acceptance.
