id,linkedRun,status,owner,privateEvidenceType,publicReplacement,retentionRule,redactionRule
EVL-001,P0R-001,Required before any live step,Authority chair,Private proof for Run critical authority route missing,Aggregate Authority run status only,Keep privately until owner closeout; do not publish,"Remove names, contact details, private minutes, evidence files, credentials, official records, and support details"
EVL-002,P0R-002,Required before any live step,Privacy reviewer,Private proof for Run privacy notice and consent gap,Aggregate Privacy run status only,Keep privately until owner closeout; do not publish,"Remove names, contact details, private minutes, evidence files, credentials, official records, and support details"
EVL-003,P0R-003,Required before any live step,Privacy reviewer,Private proof for Run outbound real email escape,Aggregate Privacy run status only,Keep privately until owner closeout; do not publish,"Remove names, contact details, private minutes, evidence files, credentials, official records, and support details"
EVL-004,P0R-004,Required before any live step,IDS/data reviewer,Private proof for Run export/delete/retention failure,Aggregate IDS/data run status only,Keep privately until owner closeout; do not publish,"Remove names, contact details, private minutes, evidence files, credentials, official records, and support details"
EVL-005,P0R-005,Required before any live step,Support owner,Private proof for Run support complaint and pause route failure,Aggregate Support run status only,Keep privately until owner closeout; do not publish,"Remove names, contact details, private minutes, evidence files, credentials, official records, and support details"
EVL-006,P0R-006,Required before any live step,Official-route owner,Private proof for Run official Toastmasters boundary drift,Aggregate FN Toastmasters run status only,Keep privately until owner closeout; do not publish,"Remove names, contact details, private minutes, evidence files, credentials, official records, and support details"
EVL-007,P0R-007,Required before any live step,Security reviewer,Private proof for Run credential or log exposure,Aggregate Security run status only,Keep privately until owner closeout; do not publish,"Remove names, contact details, private minutes, evidence files, credentials, official records, and support details"
EVL-008,P0R-008,Required before any live step,IDS/data reviewer,Private proof for Run private evidence custody leak,Aggregate Evidence run status only,Keep privately until owner closeout; do not publish,"Remove names, contact details, private minutes, evidence files, credentials, official records, and support details"
EVL-009,P0R-009,Required before next gate,Barayamal custodian,Private proof for Run business-sensitive field creep,Aggregate Barayamal run status only,Keep privately until owner closeout; do not publish,"Remove names, contact details, private minutes, evidence files, credentials, official records, and support details"
EVL-010,P0R-010,Required before next gate,Training owner,Private proof for Run guest support mistaken for member service,Aggregate FN Toastmasters run status only,Keep privately until owner closeout; do not publish,"Remove names, contact details, private minutes, evidence files, credentials, official records, and support details"
EVL-011,P0R-011,Required before next gate,Provider access owner,Private proof for Run provider asks for real records,Aggregate Provider run status only,Keep privately until owner closeout; do not publish,"Remove names, contact details, private minutes, evidence files, credentials, official records, and support details"
EVL-012,SES-008,Required before sample acceptance,Barayamal custodian,Fake founder/business-owner onboarding proof,Aggregate Barayamal sample status only,Keep privately until sample closeout,Remove business-sensitive information
EVL-013,SES-009,Required before sample acceptance,Training owner,Fake guest/member-boundary workflow proof,Aggregate FN Toastmasters sample status only,Keep privately until sample closeout,Remove official Toastmasters records
EVL-014,SES-010,Required before provider contact,Provider access owner,Provider request denial/redirect proof,Aggregate provider-boundary status only,Keep privately until provider route decision,Remove provider personal/contact details
EVL-015,SES-011,Required before public status,Comms lead,Approved public line and blocked detail list,Approved public line only,Keep privately with decision record,Remove reasons and evidence
EVL-016,SES-012,Required before any next phase,Meeting chair,Private go/no-go minutes,Outcome only,Keep privately; publish only approved aggregate decision,Remove private owner reasons
