issue_id,issue_number,title,url,milestone,status_label,lane,owner,labels,next_action,evidence_needed,done_condition
S-001,1,Create GitHub sprint board,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/1,First fake-data Decidim sandbox sprint,status:blocked,Setup,Barayamal / Dean Foley,sandbox;fake-data,Refresh GitHub auth with Projects scope or continue using milestone and status labels,Project URL or fallback-board confirmation,Sprint board path is accepted and documented
S-002,2,Confirm maintainer and contributor rules,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/2,First fake-data Decidim sandbox sprint,status:ready,Setup,Barayamal / Dean Foley,sandbox;governance,Confirm CONTRIBUTING and fake-data boundary,Maintainer note confirming repo rules and fake-data-only boundary,Rules are accepted before sandbox setup starts
S-003,3,Confirm Decidim hosting pathway,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/3,First fake-data Decidim sandbox sprint,status:ready,Setup,Initial developer,sandbox;decidim-config,Choose managed provider VPS Docker or developer-hosted sandbox,Hosting choice with support and backup notes,Hosting path is documented
S-004,4,Install or provision Decidim sandbox,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/4,First fake-data Decidim sandbox sprint,status:ready,Setup,Initial developer,sandbox;decidim-config,Provision sandbox and confirm admin login,Sandbox URL and admin login screenshot,Sandbox admin login works
S-005,5,Create organisation and public labels,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/5,First fake-data Decidim sandbox sprint,status:ready,Decidim configuration,Initial developer,sandbox;decidim-config,Configure organisation with fake-data warning,Organisation admin screenshot and public warning screenshot,Organisation loads with fake-data warning
S-006,6,Create assembly and governance context,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/6,First fake-data Decidim sandbox sprint,status:ready,Decidim configuration,Initial developer,sandbox;decidim-config,Create sample assembly with draft-only authority language,Assembly screenshot with authority boundary text,Assembly page states authority is draft/sample only
S-007,7,Create sample participatory process,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/7,First fake-data Decidim sandbox sprint,status:ready,Decidim configuration,Initial developer,sandbox;decidim-config,Create sample process and phases,Process screenshot showing sample phases,Process phases match public demo
S-008,8,Configure proposals meetings survey and accountability,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/8,First fake-data Decidim sandbox sprint,status:ready,Decidim configuration,Initial developer,sandbox;decidim-config,Configure core Decidim components with fake data,Component screenshots for proposals meetings survey and accountability,Core components visible with fake/sample data
S-009,9,Run fake-data content audit,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/9,First fake-data Decidim sandbox sprint,status:ready,Safety QA,Maintainer,safety;fake-data;qa,Audit for real data cultural material and unsafe authority language,Audit note confirming no real records or cultural material,No real data cultural material or sensitive records appear
S-010,10,Run mobile and accessibility check,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/10,First fake-data Decidim sandbox sprint,status:ready,Safety QA,Maintainer,accessibility;mobile;qa,Run mobile and accessibility checks,Desktop and mobile screenshots plus keyboard/accessibility notes,Core pages fit mobile viewport without blocking issues
S-011,11,Complete admin handover notes,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/11,First fake-data Decidim sandbox sprint,status:ready,Handover,Initial developer,handover;sandbox;ops,Record admin support backup access and handover notes,Handover note with admin support and backup access boundaries,Admin support backup and update notes delivered
S-012,12,Record sprint evidence and known limitations,https://github.com/Shadow-3/first-nations-governance-commons-public-demo/issues/12,First fake-data Decidim sandbox sprint,status:ready,Handover,Maintainer,handover;safety;ops,Record screenshots QA results limitations and open risks,Evidence log with screenshots QA outcomes limitations and risks,Evidence log has screenshots results and open risks

