id,minuteSection,owner,status,mustRecord
FMI-001,Meeting authority,Meeting chair,Open,"Chair, alternates, quorum, and scope"
FMI-002,P0 owner closeout,Authority chair,Open,"Accept, hold, repeat, or no-go for each P0"
FMI-003,Privacy decision,Privacy reviewer,Open,"Consent, withdrawal, storage, contact, outbound-email state"
FMI-004,IDS/data decision,IDS/data reviewer,Open,"Export, delete, retention, custody, redaction"
FMI-005,Support decision,Support owner,Open,"Complaint, pause, escalation, closeout"
FMI-006,Official boundary decision,Official-route owner,Blocked,Official Toastmasters boundary accepted or no-go retained
FMI-007,Provider decision,Provider access owner,Open,Real-record refusal and fake/sample RFQ boundary
FMI-008,Sample decision,Barayamal custodian / Training owner,Open,Barayamal and First Nations Toastmasters sample outcomes
FMI-009,Repeat-run decision,Authority chair,Blocked until closeout,"Proceed to repeat run, repeat remediation, or no-go/archive"
FMI-010,Public line approval,Comms lead,Ready,Approved public-safe status only
FMI-011,Next actions,Meeting chair,Open,Dated actions and owner assignments
FMI-012,Final private record,Meeting chair,Open,Private custody placeholder and public-safe summary
