"id","gate","track","status","owner","purpose","entryCondition","exitEvidence","blockedUntil"
"EXE-001","Run v4.5 implementation control review","Cross-track","Ready","Pilot owner","Open every release lock and mark pass, hold, or carry-forward.","Use v4.5 ledger.","Signed private review summary.","None."
"EXE-002","Confirm Dean advisory boundary","Cross-track","Ready","Pilot owner","Use Dean as trusted reviewer without creating approval authority.","Dean scope note drafted.","Advisory comments labelled non-approval.","None."
"EXE-003","Approve Barayamal controlled sample","Barayamal","Hold","Barayamal program operator","Confirm the first organisation sample uses fake/minimised records.","Privacy and business-field controls reviewed.","Barayamal-only sample brief accepted.","Business-sensitive fields are minimised."
"EXE-004","Approve First Nations Toastmasters controlled sample","FN Toastmasters","Hold","Training owner","Confirm guest-only or sample-only workflow boundaries.","Official Toastmasters boundary reviewed.","Guest-only sample brief accepted.","Official member route remains closed."
"EXE-005","Prepare fake participant/account pack","Cross-track","Hold","Technical/admin custodian","Create non-real accounts for rehearsal only.","Access lock reviewed.","Fake account register and revoke test.","No real people are invited."
"EXE-006","Lock consent and notice wording","Cross-track","Blocked","Privacy reviewer","Make the participant-facing wording safe before any private invite.","Privacy field schedule approved.","Consent/notice wording approved privately.","Privacy lock remains blocked."
"EXE-007","Lock support and withdrawal route","Cross-track","Blocked","Support owner","Confirm support, complaint, pause, and withdrawal paths.","Support release lock approved.","Support route drill passed.","Support lock remains blocked."
"EXE-008","Lock IDS/data custody path","Cross-track","Blocked","IDS/data reviewer","Confirm access, export, deletion, custody, and archive controls.","IDS/data release lock approved.","Data custody control note accepted.","IDS lock remains blocked."
"EXE-009","Choose Decidim environment path","Decidim build","Hold","Technical/admin custodian","Choose provider-assisted sandbox or prepared self-build environment.","Environment readiness reviewed.","Hosting/build decision note.","Ruby/PostgreSQL/ImageMagick path unresolved."
"EXE-010","Configure sample-only Decidim backlog","Decidim build","Hold","Technical/admin custodian","Translate the controlled pilot into spaces, assemblies, components, and permissions.","Environment path chosen.","Configuration backlog accepted.","Environment and access locks remain hold."
"EXE-011","Run Barayamal private rehearsal","Barayamal","Hold","Barayamal program operator","Test Indigenous founder/business-owner workflows with fake/sample records.","EXE-003, EXE-005, EXE-006, EXE-007 passed.","Rehearsal findings logged privately.","Owner/privacy/support gates open."
"EXE-012","Run Toastmasters private rehearsal","FN Toastmasters","Hold","Training owner","Test guest/member-adjacent workflows with fake/sample records only.","EXE-004, EXE-005, EXE-006, EXE-007 passed.","Rehearsal findings logged privately.","Official boundary/support gates open."
"EXE-013","Run Dean trusted review pass","Cross-track","Ready","Dean trusted reviewer","Review technical clarity, workflow quality, and safety boundaries.","EXE-002 accepted.","Advisory notes logged as comments, not approvals.","None."
"EXE-014","Create public-safe learning summary","Cross-track","Hold","Comms lead","Publish only aggregate lessons and current hold status.","Redaction and public comms lock accepted.","Public-safe summary text.","Comms lock remains hold."
"EXE-015","Convert passed items to Decidim build sprint","Decidim build","Hold","Pilot owner","Move only passed fake-data tasks into the first live-build sprint.","EXE-001 through EXE-014 reviewed.","Prioritised P0/P1 backlog.","Critical locks remain unresolved."
"EXE-016","Real intake/live access decision","Cross-track","Blocked","Authority chair","Explicitly decide proceed, hold, no-go, or archive for real intake.","All critical locks and gates passed.","Private decision record.","Authority/privacy/IDS/support/official-route locks are unresolved."
