id,timebox,runBlock,linkedAcceptance,area,owner,defaultState,entryCondition,exitEvidence,stopTrigger,publicSafeLine
RRS-001,00:00-00:10,Authority quorum and minute lock,ACC-001,Authority,Authority chair,Blocked,Authority chair and accepted alternate present with private authority minute.,Private quorum note and authority acceptance reference.,Stop if authority or quorum is unresolved.,No pilot has been approved.
RRS-002,00:10-00:20,Privacy and consent boundary check,ACC-002,Privacy,Privacy reviewer,Blocked,"Privacy owner confirms consent, withdrawal, outbound-email, and evidence boundaries.",Privacy acceptance note and consent-boundary checklist.,Stop if real participant data or outbound contact enters the test.,No real participant records are used.
RRS-003,00:20-00:30,IDS/data custody check,ACC-003,IDS/data,IDS/data steward,Blocked,"IDS/data owner confirms retention, export, deletion, and private storage rules.",Private custody acceptance reference.,Stop if evidence custody or data sovereignty is unresolved.,Data controls remain private.
RRS-004,00:30-00:40,Official Toastmasters boundary lock,ACC-004,Official boundary,Official-route owner,Blocked,"Official route owner confirms no official member, officer, club, payment, education, or incident records are used.",Official-boundary refusal note.,Stop if official records or endorsement claims appear.,Official Toastmasters workflows are not active.
RRS-005,00:40-00:52,Barayamal founder sample retest,ACC-005,Barayamal,Barayamal sample owner,Conditional,Fake founder/business-owner records only.,Sample scenario pass/fail note.,"Stop if real ABNs, revenue, client, contact, or private business records appear.",Barayamal remains a controlled fake/sample organisation test.
RRS-006,00:52-01:04,First Nations Toastmasters guest/member-boundary retest,ACC-006,FN Toastmasters,FN Toastmasters sample owner,Conditional,Fake guest/member-boundary records only.,Sample scenario pass/fail note.,"Stop if official member records, payments, officer roles, club records, incidents, elections, or education records appear.",First Nations Toastmasters remains an unofficial fake/sample tester.
RRS-007,01:04-01:14,Public release wording check,ACC-007,Communications,Comms lead,Hold,Preparation-only public lines approved.,Public-safe line acceptance note.,"Stop if wording implies launch, pilot approval, provider access, official workflow, or real records.",Public status can say preparation only.
RRS-008,01:14-01:28,Provider refusal and RFQ boundary retest,ACC-008,Provider,Provider access owner,Blocked,Provider access owner confirms refusal proof and safe alternative/RFQ boundary.,Provider boundary retest note and no-real-record line.,"Stop if provider requests or receives real participant, organisation, or Toastmasters records.","No provider has access to real participant, organisation, or Toastmasters records."
RRS-009,01:28-01:40,Evidence vault export rehearsal,ACC-009,Evidence,Evidence custodian,Hold,"Private evidence index, redaction rule, and export boundary accepted.",Redacted export packet note.,Stop if private evidence contents are exposed publicly.,Private evidence is not published.
RRS-010,01:40-01:52,Stop trigger and incident route drill,ACC-010,Support,Support owner,Hold,"Support, incident, withdrawal, and stop routes confirmed.",Incident drill minute and owner action note.,Stop if support route or escalation owner is missing.,Support pathways remain rehearsed only.
RRS-011,01:52-02:04,Technical fake/sample Decidim dry run,ACC-011,Technical,Technical custodian,Hold,"No live credentials, production access, or real data stores are active.",Technical dry-run log and rollback note.,Stop if live credentials or production systems are introduced.,Live Decidim access remains blocked.
RRS-012,02:04-02:20,Post-run decision minute lock,ACC-012,Decision,Meeting chair,Blocked,"Every P0 scenario, evidence record, stop trigger, and public line has an owner decision.",Private post-run decision minute.,Stop if any P0 result lacks owner signoff.,Repeat P0 result is private until accepted.
