id,risk,severity,status,owner,conditionToAccept,control,publicBoundary
"RA-001","Real intake opens before owners approve","Critical","Blocked","Authority chair","Never accept while any critical gate is blocked.","Hold motion remains default.","Public says not open."
"RA-002","Authority evidence leaks publicly","Critical","Blocked","Authority chair","Only public-safe status can be published.","Private evidence store.","No minutes public."
"RA-003","Privacy/IDS conditions bypassed","Critical","Blocked","Privacy and IDS reviewers","Cannot accept without signed private conditions.","Gate GAT-002 and GAT-003.","Aggregate only."
"RA-004","Official Toastmasters member records collected","Critical","Blocked","Official-route owner","Never accept collection in Decidim by default.","External official route.","No member numbers."
"RA-005","Support or incident details exposed","Critical","Blocked","Support owner","Never publish details.","Private support route.","No support details public."
"RA-006","Business-sensitive details exposed","High","Hold","Barayamal program operator","Accept only with minimised private fields and no export.","Barayamal field review.","No commercial details public."
"RA-007","Dean/advisory role confused with authority","High","Hold","Pilot owner","Accept only if boundary is explicit everywhere.","Advisory boundary notices.","Dean advisory only."
"RA-008","Access not revoked after rehearsal","High","Hold","Technical/admin custodian","Accept only after revoke proof.","Access closeout test.","No logs public."
"RA-009","Backup or export contains sensitive records","High","Hold","Technical/admin custodian","Accept only with fake-data proof and private rules.","Backup/export/delete test.","No backups public."
"RA-010","Guest path implies membership","High","Hold","Official-route owner","Accept only after official wording review.","Guest-only language.","No implied membership."
"RA-011","Provider sees excessive data","High","Hold","Provider access owner","Accept only with least privilege and contract controls.","Provider access ticket.","No provider logs public."
"RA-012","Public update overstates readiness","Medium","Ready","Comms lead","Accept if wording says hold/fake-data only.","Comms gate.","Public-safe only."
"RA-013","Training incomplete","Medium","Hold","Training owner","Accept only for fake-data rehearsal, not real intake.","Training gate.","Aggregate status only."
"RA-014","Cultural protocol trigger missed","Critical","Blocked","Cultural safety reviewer","Never accept; stop and route privately.","Cultural protocol stop rule.","No cultural material public."
