id,source,track,status,owner,implementationNeed,releaseLock,nextStep,publicBoundary
"MAP-001","CAR-001 authority review","Cross-track","Blocked","Authority chair","Authority implementation memo.","LCK-001","Book private authority review.","Status only."
"MAP-002","CAR-002 privacy field schedule","Cross-track","Blocked","Privacy reviewer","Minimum data-field rules.","LCK-002","Approve field schedule.","No fields public."
"MAP-003","CAR-003 IDS/data controls","Cross-track","Blocked","IDS/data reviewer","Data control implementation note.","LCK-003","Approve control/export/delete rules.","Aggregate status only."
"MAP-004","CAR-004 support route","Cross-track","Blocked","Support owner","Support, withdrawal, complaint, incident runbook.","LCK-004","Confirm private support route.","No support details."
"MAP-005","CAR-005 official boundary","FN Toastmasters","Blocked","Official-route owner","Official route exclusion memo.","LCK-005","Confirm member/guest boundary.","No official records."
"MAP-006","CAR-006 guest-only wording","FN Toastmasters","Hold","Training owner","Guest-only fake-data script.","LCK-009","Draft and review guest wording.","No member records."
"MAP-007","CAR-007 Barayamal minimisation","Barayamal","Hold","Barayamal program operator","Barayamal field minimisation.","LCK-008","Remove business-sensitive fields.","No business details."
"MAP-008","CAR-008 Dean advisory comments","Cross-track","Ready","Pilot owner","Advisory review notes.","LCK-014","Collect comments as advisory only.","Advisory only."
"MAP-009","CAR-009 access revoke proof","Cross-track","Hold","Technical/admin custodian","Access revoke proof.","LCK-011","Run fake-account revoke proof.","No logs."
"MAP-010","CAR-010 backup/export/delete proof","Cross-track","Hold","Technical/admin custodian","Backup/export/delete proof.","LCK-010","Run fake-data operations proof.","No backups/exports."
"MAP-011","CAR-011 provider boundary","Cross-track","Hold","Provider access owner","Provider access rules.","LCK-012","Decide provider route controls.","No provider logs."
"MAP-012","CAR-012 redaction checklist","Cross-track","Hold","Comms lead","Public release redaction.","LCK-013","Close redaction checklist.","Public-safe line only."
"MAP-013","CAR-013 public release note","Cross-track","Ready","Comms lead","Public v4.5 status note.","LCK-013","Publish only hold status.","No private evidence."
"MAP-014","CAR-014 archive evidence index","Cross-track","Hold","Closeout archivist","Private archive index.","LCK-016","Store private index.","Index status only."
"MAP-015","CAR-015 second decision meeting","Cross-track","Available","Meeting chair","Second fake-data decision meeting.","LCK-007","Schedule only if blockers remain.","Public hold status."
"MAP-016","CAR-016 no-go/archive real intake","Cross-track","Available","Authority chair","No-go/archive route.","LCK-016","Prepare no-go route if owner declines.","No private reasons."
