"id","agendaItem","track","status","chairPrompt","evidenceRequired","decisionOutput"
"DAG-001","Open meeting and fake/sample boundary","Cross-track","Ready","Confirm v4.8 is decision prep only.","Public demo package and safety note.","Meeting can proceed as private fake/sample decision prep."
"DAG-002","Review v4.7 rehearsal scorecard","Cross-track","Ready","Read the rehearsal count, critical issues, blocked signoffs, and acceptance checks.","v4.7 control package and scorecard.","Rehearsal evidence accepted for decision review."
"DAG-003","Authority route evidence","Authority","Blocked","Ask whether the right First Nations authority owner can approve the next lane.","Private authority note.","Live intake remains blocked or authority gate moves to hold."
"DAG-004","Privacy notice and consent gate","Privacy","Blocked","Ask whether participant notice, consent, withdrawal, and support routing are acceptable.","Privacy signoff and notice text.","Private invitation remains blocked or consent gate moves to hold."
"DAG-005","IDS/data lifecycle gate","IDS/data","Blocked","Ask whether custody, export, delete, archive, and retention can be evidenced.","Lifecycle proof note.","Any real data processing remains blocked or moves to hold."
"DAG-006","Support, complaint, and pause route","Support","Blocked","Ask whether the support route has a named owner and rehearsal pass.","Support drill record.","Private invitation remains blocked or support gate moves to hold."
"DAG-007","Official Toastmasters boundary","FN Toastmasters","Blocked","Confirm official Toastmasters systems and records stay outside Decidim.","Official-route boundary note.","Member workflow remains blocked or guest-only lane can repeat."
"DAG-008","Barayamal controlled sample decision","Barayamal","Hold","Decide whether Barayamal fake founder/business workflows can repeat or move to private prep.","Barayamal owner note and data minimisation review.","Barayamal lane hold, repeat, or limited private prep."
"DAG-009","Dean advisory findings","Dean review","Ready","Receive Dean advisory comments as issues or tickets only.","Advisory register.","Comments routed without becoming approval."
"DAG-010","Decidim build route","Decidim build","Hold","Choose provider-assisted sandbox or self-build dependency preparation.","Local environment status and hosting criteria.","Build route chosen or held."
"DAG-011","Provider/self-build comparison","Decidim build","Hold","Compare build path against cost, dependency, support, security, data, and rollback needs.","Comparison matrix.","Provider-assisted, self-build prep, or no-go."
"DAG-012","Implementation ticket backlog","Build handoff","Ready","Approve only tickets that can be worked safely with fake/sample data.","Ticket backlog with blockers.","Tickets accepted, held, or blocked."
"DAG-013","Public-safe communications","Comms","Ready","Approve a public status line that does not imply launch.","Redaction and comms register.","Public-safe update or no public update."
"DAG-014","Final decision route","Closeout","Hold","Choose hold, repeat rehearsal, provider-assisted build, limited private pilot, no-go, or archive.","Owner vote register and blocker board.","Private decision brief."
