id,priority,area,linkedIssue,status,owner,action,acceptanceCriteria,evidenceNeeded,repeatRunImpact,publicLine
REM-001,P0,Authority,ISS-001,Open,Authority chair,Name the private authority chair and alternate.,Authority chair and alternate are recorded privately with scope and quorum authority.,Private authority minute and owner roster update.,P0R-001 can be rerun.,Authority gates remain private and unresolved; no pilot has been approved.
REM-002,P0,Privacy,ISS-002,Open,Privacy reviewer,"Rewrite consent, privacy notice, withdrawal, storage, and contact wording.",Privacy reviewer accepts the copy and withdrawal route for fake/sample testing.,Private copy approval and consent screen proof.,P0R-002 can be rerun.,Privacy and consent controls remain under private review.
REM-003,P0,Privacy,ISS-003,In review,Privacy reviewer,Capture disabled outbound email proof and public-safe email wording.,"Outbound email remains disabled or contained, with no real email sent.",Private screenshot or log reference showing disabled outbound path.,P0R-003 can move from Hold to repeat test.,No outbound email is active for real participants.
REM-004,P0,IDS/data,ISS-004,Open,IDS/data reviewer,"Repeat export, delete, retention, and custody drill with fake records.","Export, delete, retention, and custody steps pass and are accepted privately.",Private export/delete/retention proof and custody placeholder.,P0R-004 can be rerun.,"Data export, deletion, and retention controls remain under private review."
REM-005,P0,Support,ISS-005,Open,Support owner,"Run complaint, pause, escalation, and closeout drill.",Support owner accepts the pause route and escalation owner path.,Private support drill minute and pause-route proof.,P0R-005 can be rerun.,Support routes are not live services.
REM-006,P0,Official boundary,ISS-006,Blocked,Official-route owner,Name official-route owner and keep official Toastmasters systems out of scope.,Official-route owner confirms that all repeat tests stay fake guest/member-boundary only.,Private official-boundary note and blocked-field list.,P0R-006 remains no-go until boundary is accepted.,First Nations Toastmasters remains a fake/sample guest and boundary tester only.
REM-007,P0,Evidence,ISS-007,Open,IDS/data reviewer,Complete evidence custody index and redaction review.,Every public status line has a private custody placeholder and redaction rule.,Private custody index and redaction checklist.,P0R-008 can be rerun.,Private evidence is not published in the public package.
REM-008,P0,Provider,ISS-008,Open,Provider access owner,Approve fake/sample-only provider boundary pack and real-record refusal script.,Provider real-record asks are rejected and redirected to fake/sample schemas only.,"Private provider refusal script, RFQ boundary, and retest proof.",P0R-011 can be rerun.,"No provider has access to real participant, organisation, or Toastmasters records."
REM-009,P1,FN Toastmasters,ISS-010,Open,Training owner,Rewrite guest-support copy that still reads like member service.,Training owner accepts guest/member-boundary wording.,Private copy review and sample-screen note.,P0R-010 can move to repeat after copy is accepted.,First Nations Toastmasters sample records do not represent official member services.
REM-010,P1,Security,ISS-012,In review,Security reviewer,Attach backup restore proof to the final decision minute.,Security reviewer accepts restore proof for fake/sample environment only.,Private restore proof reference.,"Live Decidim access remains blocked, but repeat run can note recovery proof.",No live Decidim access is approved by this public demo.
REM-011,P1,Access,ISS-013,Open,Security reviewer,Add admin access expiry and revoke evidence.,"Admin access has expiry, revoke route, and owner approval.",Private access-expiry proof and revoke note.,Repeat run can test revoke route.,No live admin access is approved by this public demo.
REM-012,P1,Provider,ISS-017,Open,Provider access owner,Approve provider RFQ scope boundary.,"RFQ says fake/sample-only and excludes real records, official Toastmasters data, and live access.",Private RFQ approval reference.,Provider tests can be repeated as scripted.,Provider or self-build options remain under fake/sample-only review.
REM-013,P2,Owners,ISS-015,Open,Meeting chair,Complete owner alternate rota and quorum roster.,Every required owner has an alternate and attendance status.,Private quorum roster.,Repeat run can be scheduled.,Named owners must approve their own gates privately.
REM-014,P2,Barayamal,ISS-009,Ready,Barayamal custodian,Revise held Barayamal sample records and blocked-field labels.,Barayamal custodian accepts fake/sample organisation path.,Private sample review note.,Barayamal sample can be retested.,Barayamal remains a controlled fake/sample organisation test path.
REM-015,P2,Communications,ISS-011,Ready,Comms lead,Publish only approved preparation-status lines.,"Public line does not imply launch, real intake, or private evidence pass.",Private comms approval reference.,Public closeout line can be used after repeat run.,The public demo remains a fake/sample preparation tool; no live pilot has been approved.
REM-016,P2,Documentation,ISS-016,Ready,Documentation owner,Add the remediation and repeat-run pack to the reviewer materials.,"Reviewer pack links to v5.4 page, docs, CSVs, and JSON.",Generated v5.4 package manifest.,Reviewers can follow the repeat-run process.,The demo now includes a remediation control layer.
REM-017,P0,Final minutes,FINAL-MINUTES,Open,Meeting chair,Complete final private decision minute template before repeat run.,"Final minute captures owner decisions, evidence placeholders, defects, and public-safe outcomes.",Private final minute placeholder and agenda.,Final decisions can be updated after repeat.,The next valid step is repeat private fake/sample testing or no-go/archive.
REM-018,P1,Repeat run,NXT-013,Scheduled,Meeting chair,Schedule repeat P0 stress lab only after P0 owner actions are ready.,"Calendar, quorum, evidence folder, and stop triggers are confirmed.",Private calendar hold and quorum checklist.,Repeat run can start only after P0 prep is ready.,Preparation continues; no pilot has been approved.
