id,lock,track,status,owner,blocks,unlockCondition,evidence,publicSummary
"LCK-001","Authority route release lock","Cross-track","Blocked","Authority chair","Any real intake, voting, or live process.","Authority route approved privately.","WKS-001 evidence.","Authority lock closed."
"LCK-002","Privacy field release lock","Cross-track","Blocked","Privacy reviewer","Any personal data capture.","Minimum field schedule approved.","WKS-002 evidence.","Privacy lock closed."
"LCK-003","IDS/data governance release lock","Cross-track","Blocked","IDS/data reviewer","Any data processing, export, or access.","Control/access/export/delete conditions approved.","WKS-003 evidence.","Data lock closed."
"LCK-004","Support and incident release lock","Cross-track","Blocked","Support owner","Any participant-facing intake.","Support, withdrawal, complaint, and incident routes approved.","WKS-004 evidence.","Support lock closed."
"LCK-005","Official Toastmasters release lock","FN Toastmasters","Blocked","Official-route owner","Any member route or official club process.","Official boundary approved.","WKS-005 evidence.","Member route closed."
"LCK-006","Cultural protocol release lock","Cross-track","Blocked","Cultural safety reviewer","Any culturally sensitive process.","Stop rule and private route approved.","Protocol evidence.","Cultural lock closed."
"LCK-007","Live Decidim release lock","Cross-track","Blocked","Authority chair","Live Decidim access or real pilot launch.","All critical owner locks passed.","All lock evidence.","Live launch blocked."
"LCK-008","Barayamal-only rehearsal lock","Barayamal","Hold","Barayamal program operator","Barayamal-only fake-data rehearsal.","Business-field minimisation approved.","WKS-007 evidence.","Barayamal track on hold."
"LCK-009","Toastmasters guest-only rehearsal lock","FN Toastmasters","Hold","Training owner","Guest-only fake-data rehearsal.","Guest-only wording and official boundary accepted.","WKS-006 evidence.","Guest track on hold."
"LCK-010","Technical environment lock","Cross-track","Hold","Technical/admin custodian","Sandbox implementation task start.","Environment checks pass.","ENV checks.","Technical lock on hold."
"LCK-011","Access provisioning lock","Cross-track","Hold","Technical/admin custodian","Any account setup or role assignment.","Access controls and revoke proof pass.","ACS controls.","Access lock on hold."
"LCK-012","Provider route lock","Cross-track","Hold","Provider access owner","Provider-assisted setup.","Provider controls accepted.","WKS-010 evidence.","Provider route on hold."
"LCK-013","Public communications lock","Cross-track","Hold","Comms lead","Any public statement beyond v4.5 status.","Redaction and wording approved.","COM-001/COM-011.","Public update on hold."
"LCK-014","Dean advisory label lock","Cross-track","Ready","Pilot owner","Advisory comments entering task ledger.","Advisory comments labelled non-approval.","WKS-008 evidence.","Advisory boundary ready."
"LCK-015","Fake-data task lock","Cross-track","Ready","Pilot owner","Static demo task additions.","Task uses fake/sample data only.","Task review.","Fake-data tasks allowed."
"LCK-016","No-go/archive lock","Cross-track","Ready","Closeout archivist","No-go or archive route.","Archive/no-go public-safe note ready.","RBK controls.","No-go path available."
