id,action,status,owner,stream,evidenceNeeded,acceptanceProof,escalationRoute
AAD-001,Public redaction confirmation,Ready,QA reviewer,Public package,"Confirm v3.5 page, docs, CSV, JSON, screenshots, and links contain fake/sample data only.",Public redaction checklist signed as public-safe.,Publish pass summary
AAD-002,Dean advisory boundary note,Ready,Dean Foley / Barayamal,Advisory review,"State advisory role, assumptions, scope, limits, and no-approval claim.",Boundary note visible and separate from authority decision.,Table advisory note
AAD-003,Conflict and custody declaration,Required,Dean Foley / Barayamal,Advisory review,Declare initial developer/custodian role and any conflicts or dependencies.,Conflict/custody note accepted by meeting chair.,Ask authority group to accept or vary
AAD-004,Authority quorum evidence,Blocked,Pilot authority,Authority,"Provide private proof of who can approve, object, defer, or stop the pilot.",Authority quorum and delegation recorded privately.,Escalate to authority group
AAD-005,IDS/data governance decision,Blocked,Data reviewer,Data governance,"Approve purpose, collective benefit, data classes, access, retention, deletion, reporting, and return route.",IDS/data governance decision recorded privately.,Escalate to data reviewer
AAD-006,Privacy decision,Blocked,Privacy reviewer,Privacy,"Approve notice, consent, withdrawal, correction, minimisation, retention, provider checks, and incident response.",Privacy decision recorded privately.,Escalate to privacy reviewer
AAD-007,Private environment proof,Blocked,Technical custodian,Technical,"Show private workspace, admin owner, backups, export, delete, restore, logging, and access controls.",Private environment evidence accepted privately.,Escalate to technical custodian
AAD-008,Role access revoke test,Blocked,Technical custodian,Technical,"Test least privilege, MFA, reviewer access, provider denial, revoke, and audit log capture.",Access and revoke test passed privately.,Escalate to technical custodian
AAD-009,Official Toastmasters boundary,Hold,Toastmasters launch lead,Official route,"Confirm official forms, chartering, payments, member numbers, signatures, and acceptance records stay outside the pilot tool unless separately approved.",Official boundary memo accepted.,Hold official claims
AAD-010,Support and incident route,Hold,Safety reviewer,Safety,"Confirm support owner, response clock, pause trigger, breach assessment, escalation, and participant support route.",Support and incident route staffed or held.,Escalate to safety reviewer
AAD-011,Provider fake-data boundary,Hold,Build delivery lead,Provider,"Confirm any provider sees fake/sample package only until contract, authority, privacy, and role access approval.",Provider handoff stays public-safe.,Hold production export
AAD-012,Participant notice and consent pack,Hold,Privacy reviewer,Participant route,"Prepare plain-language notice, voluntary participation wording, withdrawal, correction, and support clauses.",Notice/consent draft ready for private approval.,Escalate to privacy reviewer
AAD-013,Withdrawal and correction test,Blocked,Privacy reviewer,Participant route,"Test a fake request to withdraw, correct, restrict, or delete a record.",Test result and owner route recorded privately.,Escalate to privacy reviewer
AAD-014,First-72-hour monitoring schedule,Hold,Pilot operator,Monitoring,"Name hour 0, 2, 4, 8, 12, 24, 36, 48, 72, and week 1 checks.",Monitoring schedule approved or held.,Carry as activation condition
AAD-015,Closeout and archive trigger,Hold,Data reviewer,Closeout,"Name review date, deletion/retention owner, archive decision, access revocation, and public summary route.",Closeout trigger approved or held.,Carry as closeout condition
AAD-016,Authority meeting agenda,Required,Meeting chair,Meeting,"Convert action items into a private agenda with motions, owner asks, blocked gates, and decision sequence.",Agenda ready and public-safe summary approved.,Send to authority group
AAD-017,Decision record shell,Required,Meeting chair,Meeting,"Prepare go/hold/no-go record with conditions, expiry, stop triggers, unresolved holds, and signoff route.",Decision record shell ready before meeting.,Use in private meeting
AAD-018,Public status update,Ready,Public comms,Public summary,"Publish only aggregate status, owner type, blocker class, and next route without private evidence.",Public status update is redacted and non-authority.,Publish public-safe update
