id,sample,status,owner,testStep,blockedFields,acceptanceCriteria
TBC-001,First Nations Toastmasters guest/member-boundary closeout sample 1,Ready,Training owner,Check blocked-field absence and sample-only wording.,"Member number, payment, education record, officer role, official club record, incident, election","Owner accepts that no real, official, sensitive, or live-service data is collected."
TBC-002,First Nations Toastmasters guest/member-boundary closeout sample 2,Ready,Training owner,"Check support, feedback, and public-safe line.","Member number, payment, education record, officer role, official club record, incident, election","Owner accepts that no real, official, sensitive, or live-service data is collected."
TBC-003,First Nations Toastmasters guest/member-boundary closeout sample 3,Ready,Training owner,Check blocked-field absence and sample-only wording.,"Member number, payment, education record, officer role, official club record, incident, election","Owner accepts that no real, official, sensitive, or live-service data is collected."
TBC-004,First Nations Toastmasters guest/member-boundary closeout sample 4,Ready,Training owner,"Check support, feedback, and public-safe line.","Member number, payment, education record, officer role, official club record, incident, election","Owner accepts that no real, official, sensitive, or live-service data is collected."
TBC-005,First Nations Toastmasters guest/member-boundary closeout sample 5,Ready,Training owner,Check blocked-field absence and sample-only wording.,"Member number, payment, education record, officer role, official club record, incident, election","Owner accepts that no real, official, sensitive, or live-service data is collected."
TBC-006,First Nations Toastmasters guest/member-boundary closeout sample 6,Revise,Training owner,"Check support, feedback, and public-safe line.","Member number, payment, education record, officer role, official club record, incident, election","Owner accepts that no real, official, sensitive, or live-service data is collected."
TBC-007,First Nations Toastmasters guest/member-boundary closeout sample 7,Revise,Training owner,Check blocked-field absence and sample-only wording.,"Member number, payment, education record, officer role, official club record, incident, election","Owner accepts that no real, official, sensitive, or live-service data is collected."
TBC-008,First Nations Toastmasters guest/member-boundary closeout sample 8,Revise,Training owner,"Check support, feedback, and public-safe line.","Member number, payment, education record, officer role, official club record, incident, election","Owner accepts that no real, official, sensitive, or live-service data is collected."
TBC-009,First Nations Toastmasters guest/member-boundary closeout sample 9,Retest,Training owner,Check blocked-field absence and sample-only wording.,"Member number, payment, education record, officer role, official club record, incident, election","Owner accepts that no real, official, sensitive, or live-service data is collected."
TBC-010,First Nations Toastmasters guest/member-boundary closeout sample 10,Retest,Training owner,"Check support, feedback, and public-safe line.","Member number, payment, education record, officer role, official club record, incident, election","Owner accepts that no real, official, sensitive, or live-service data is collected."
