id,track,account,role,access,script,mustNotAccess,revokeRule
ACC-001,Barayamal,Ari Founder Sample,Founder participant,Verified participant,"Submit fake interest, proposal, meeting RSVP, support topic.","Must not see mentor notes, partner exports, or private review.",Revoke before real pilot.
ACC-002,Barayamal,Mika Business Owner Sample,Business owner participant,Verified participant,Submit sample business-stage survey and accountability comment.,"Must not enter ABN, income, client, contract, tax, or legal data.",Revoke before real pilot.
ACC-003,Barayamal,Noah Program Sample,Program participant,Verified participant,"Join fake cohort, view public-safe updates, submit fake support preference.",Must not upload eligibility or identity evidence.,Revoke before real pilot.
ACC-004,Barayamal,Kai Mentor Sample,Mentor,Restricted reviewer,View public-safe needs list and fake meeting availability.,Must not see private founder records or conflicts.,Disable until mentor policy approved.
ACC-005,Barayamal,Lani Partner Sample,Partner observer,Observer,View public accountability and public-safe updates only.,"Must not export, comment on private records, or see participant identities.",Keep observer-only.
ACC-006,Barayamal,Dean Advisory Sample,Trusted reviewer,Advisory reviewer,"Review public package, raise build findings, test boundary copy.","Must not approve authority, privacy, IDS, official records, or real access.",Time-box review access.
ACC-007,Barayamal,Barayamal Admin Sample,Sandbox admin,Local admin,"Configure spaces, components, fake accounts, and test data.",Must not upload real records or grant approval authority.,Revoke or convert before real pilot.
ACC-008,Barayamal,Privacy Reviewer Sample,Privacy/IDS reviewer,Restricted reviewer,"Check notice, consent, data boundary, redaction, export hold.",Must not publish private decisions.,Private approval route only.
ACC-009,FN Toastmasters,Tala Member Sample,Sample member,Verified participant,"View welcome path, choose meeting role, submit aggregate learning survey.",Must not enter official member number or payment.,Revoke before real pilot.
ACC-010,FN Toastmasters,Jin Guest Sample,Guest participant,Guest,View public-safe meeting page and sample guest norms.,Must not see private attendance or evaluations.,Guest-only access.
ACC-011,FN Toastmasters,Rae Speaker Sample,Meeting role holder,Verified participant,Take speaker role in fake agenda.,Must not store private speech feedback.,Revoke before real pilot.
ACC-012,FN Toastmasters,Mara Evaluator Sample,Evaluator role,Verified participant,Submit public-safe sample feedback summary.,Must not write personal evaluation history.,Revoke before real pilot.
ACC-013,FN Toastmasters,Club Facilitator Sample,Club facilitator,Local admin,"Create meeting, sample role list, public-safe minutes.",Must not create official Toastmasters records.,Private official boundary required.
ACC-014,FN Toastmasters,Official Route Sample,Official-route owner,External owner,Check external boundary copy and official handoff references.,"Must not store forms, payments, signatures, or charter evidence in Decidim.",External system only.
ACC-015,Cross-track,Support Pause Sample,Safety reviewer,Restricted reviewer,"Trigger fake pause, incident route, consent-withdrawal tabletop.",Must not publish affected-person details.,Private safety route only.
ACC-016,Cross-track,Technical Custodian Sample,Technical custodian,System admin,"Run backup/export/delete, admin revoke, audit, and release validation.",Must not keep admin access after test window.,Revocation proof required.
