id,linkedScenario,linkedRunBlock,area,priority,owner,resultState,evidenceState,decisionImpact,defectLink,publicSafeLine,nextAction
RES-001,SCN-001,RRS-001,Authority,P0,Authority chair,Blocked,Missing authority minute evidence,No pilot decision can proceed.,DEF-001,No pilot has been approved.,Authority chair must accept quorum and final decision rights.
RES-002,SCN-002,RRS-002,Privacy,P0,Privacy reviewer,Blocked,Consent withdrawal proof held,Real participant intake remains blocked.,DEF-002,No real participant records are used.,"Privacy reviewer must accept consent, withdrawal, and outbound-contact controls."
RES-003,SCN-003,RRS-003,IDS/data,P0,IDS/data steward,Hold,Custody export evidence held,Evidence and data-transfer decisions remain held.,DEF-003,Private evidence is not published.,"IDS/data steward must accept retention, deletion, redaction, and export evidence."
RES-004,SCN-004,RRS-004,Official boundary,P0,Official-route owner,Passed,Accepted official no-record evidence,Official Toastmasters workflows still remain inactive.,DEF-004,Official Toastmasters workflows are not active.,Keep official records excluded from every repeat path.
RES-005,SCN-005,RRS-005,Barayamal,P1,Barayamal sample owner,Passed with sample limits,Accepted sample-only evidence,Barayamal can continue as fake/sample organisation tester only.,DEF-005,Barayamal remains a controlled fake/sample organisation test.,Keep fake founder and fake business-owner records visibly labelled.
RES-006,SCN-006,RRS-005,Barayamal,P1,Barayamal sample owner,Hold,Moderation evidence needs owner note,Barayamal moderation path needs one retest.,DEF-006,Barayamal remains fake/sample only.,Close moderation appeal owner and sample redaction note.
RES-007,SCN-007,RRS-006,FN Toastmasters,P1,FN Toastmasters sample owner,Passed with sample limits,Accepted sample-only evidence,First Nations Toastmasters can continue as unofficial fake/sample tester only.,DEF-007,First Nations Toastmasters remains an unofficial fake/sample tester.,Keep guest inquiry outside official systems.
RES-008,SCN-008,RRS-006,FN Toastmasters,P1,FN Toastmasters sample owner,Hold,Member-boundary script needs second owner check,Official Toastmasters records remain blocked.,DEF-008,No official Toastmasters workflow is active.,Add official-route owner signoff for member-boundary support.
RES-009,SCN-009,RRS-008,Provider,P0,Provider access owner,Blocked,Provider refusal proof not accepted,Provider real-record access and build activation remain blocked.,DEF-009,"No provider has access to real participant, organisation, or Toastmasters records.",Capture refusal/RFQ proof without sharing real records.
RES-010,SCN-010,RRS-007,Communications,P0,Comms lead,Hold,Preparation-only wording held,External update remains held.,DEF-010,Public status can say preparation only.,"Remove wording that implies pilot, launch, provider access, or official workflow."
RES-011,SCN-011,RRS-009,Evidence,P0,Evidence custodian,Hold,Evidence vault export not fully minute-linked,Private evidence publication remains blocked.,DEF-011,Private evidence is not published.,Link redacted export shell to result minute and custody note.
RES-012,SCN-012,RRS-010,Support,P1,Support owner,Hold,Offline import consent route held,Offline/yarning import remains fake/sample only.,DEF-012,Offline import remains fake/sample only.,Owner must accept withdrawal marker and sensitive-material stop route.
RES-013,SCN-013,RRS-011,Technical,P1,Technical custodian,Passed with sample limits,Accepted mobile/low-bandwidth sample evidence,Technical fake/sample rehearsal can continue.,DEF-013,Technical test remains fake/sample only.,Keep live credentials and production systems excluded.
RES-014,SCN-014,RRS-012,Decision,P0,Meeting chair,Blocked,Final decision lacks accepted P0 pass chain,Final decision stays private and blocked.,DEF-014,Repeat P0 result is private until accepted.,Return to P0 remediation before any decision packet can proceed.
