id,linkedEvidenceVote,linkedOwnerSprint,area,priority,owner,handoffState,requiredOwnerAction,evidencePacket,repeatImpact,publicSafeLine,launchStatus,countedForRepeat
HOF-001,EVS-001,OSP-001,Authority,P0,Authority chair,Owner action,"Accept, revise, or hold evidence need: Private authority roster and minute placeholder.",Private evidence packet for OSP-001: Private authority roster and minute placeholder.,Blocks repeat P0 scheduling until owner action is accepted privately.,Authority remains private and unresolved; no pilot has been approved.,Launch remains blocked,No
HOF-002,EVS-002,OSP-002,Privacy,P0,Privacy reviewer,Owner action,"Accept, revise, or hold evidence need: Private privacy copy approval.",Private evidence packet for OSP-002: Private privacy copy approval.,Blocks repeat P0 scheduling until owner action is accepted privately.,Privacy and consent controls remain under private owner review.,Launch remains blocked,No
HOF-003,EVS-003,OSP-003,Privacy,P0,Privacy reviewer,Owner action,"Accept, revise, or hold evidence need: Disabled outbound-email proof.",Private evidence packet for OSP-003: Disabled outbound-email proof.,Blocks repeat P0 scheduling until owner action is accepted privately.,No outbound email is active for real participants.,Launch remains blocked,No
HOF-004,EVS-004,OSP-004,IDS/data,P0,IDS/data reviewer,Owner action,"Accept, revise, or hold evidence need: Private data-rights drill evidence placeholder.",Private evidence packet for OSP-004: Private data-rights drill evidence placeholder.,Blocks repeat P0 scheduling until owner action is accepted privately.,"Data export, deletion, and retention controls remain under private review.",Launch remains blocked,No
HOF-005,EVS-005,OSP-005,Support,P0,Support owner,Owner action,"Accept, revise, or hold evidence need: Private support drill minute.",Private evidence packet for OSP-005: Private support drill minute.,Blocks repeat P0 scheduling until owner action is accepted privately.,Support routes are not live services.,Launch remains blocked,No
HOF-006,EVS-006,OSP-006,Official boundary,P0,Official-route owner,Blocked,Resolve blocker before any repeat scheduling: Any official Toastmasters workflow appears.,Private evidence packet for OSP-006: Private official-boundary note.,Blocks repeat P0 scheduling until owner action is accepted privately.,First Nations Toastmasters remains a fake/sample guest and boundary tester only.,Launch remains blocked,No
HOF-007,EVS-007,OSP-007,Evidence,P0,IDS/data reviewer,Owner action,"Accept, revise, or hold evidence need: Private custody index.",Private evidence packet for OSP-007: Private custody index.,Blocks repeat P0 scheduling until owner action is accepted privately.,Private evidence is not published in the public package.,Launch remains blocked,No
HOF-008,EVS-008,OSP-008,Provider,P0,Provider access owner,Owner action,"Accept, revise, or hold evidence need: Provider refusal proof and RFQ boundary approval.",Private evidence packet for OSP-008: Provider refusal proof and RFQ boundary approval.,Blocks repeat P0 scheduling until owner action is accepted privately.,"No provider has access to real participant, organisation, or Toastmasters records.",Launch remains blocked,No
HOF-009,EVS-009,OSP-009,FN Toastmasters,P1,Training owner,Owner action,"Accept, revise, or hold evidence need: Private copy review.",Private evidence packet for OSP-009: Private copy review.,Blocks repeat P0 scheduling until owner action is accepted privately.,First Nations Toastmasters sample records do not represent official member services.,Launch remains blocked,No
HOF-010,EVS-010,OSP-010,Security,P1,Security reviewer,Owner action,"Accept, revise, or hold evidence need: Private security proof references.",Private evidence packet for OSP-010: Private security proof references.,Blocks repeat P0 scheduling until owner action is accepted privately.,No live Decidim access is approved by this public demo.,Launch remains blocked,No
HOF-011,EVS-011,OSP-011,Access,P1,Security reviewer,Owner action,"Accept, revise, or hold evidence need: Private access expiry proof.",Private evidence packet for OSP-011: Private access expiry proof.,Blocks repeat P0 scheduling until owner action is accepted privately.,No live admin access is approved by this public demo.,Launch remains blocked,No
HOF-012,EVS-012,OSP-012,Provider,P1,Provider access owner,Owner action,"Accept, revise, or hold evidence need: Private RFQ approval reference.",Private evidence packet for OSP-012: Private RFQ approval reference.,Blocks repeat P0 scheduling until owner action is accepted privately.,Provider or self-build options remain under fake/sample-only review.,Launch remains blocked,No
HOF-013,EVS-013,OSP-013,Owners,P2,Meeting chair,Owner action,"Accept, revise, or hold evidence need: Private quorum roster.",Private evidence packet for OSP-013: Private quorum roster.,Blocks repeat P0 scheduling until owner action is accepted privately.,Named owners must approve their own gates privately.,Launch remains blocked,No
HOF-014,EVS-014,OSP-014,Barayamal,P2,Barayamal custodian,Ready for repeat,Confirm private signoff and evidence custody reference.,Private evidence packet for OSP-014: Private Barayamal sample review.,Can enter repeat P0 schedule after owner signoff.,Barayamal remains a controlled fake/sample organisation test path.,Launch remains blocked,Yes after owner signs
HOF-015,EVS-015,OSP-015,Communications,P2,Comms lead,Ready for repeat,Confirm private signoff and evidence custody reference.,Private evidence packet for OSP-015: Private comms approval reference.,Can enter repeat P0 schedule after owner signoff.,The public demo remains a fake/sample preparation tool; no live pilot has been approved.,Launch remains blocked,Yes after owner signs
HOF-016,EVS-016,OSP-016,Documentation,P2,Documentation owner,Ready for repeat,Confirm private signoff and evidence custody reference.,Private evidence packet for OSP-016: Generated v5.5 package manifest.,Can enter repeat P0 schedule after owner signoff.,The demo now includes an owner closeout sprint layer.,Launch remains blocked,Yes after owner signs
HOF-017,EVS-017,OSP-017,Final minutes,P0,Meeting chair,Owner action,"Accept, revise, or hold evidence need: Private final minute placeholder.",Private evidence packet for OSP-017: Private final minute placeholder.,Blocks repeat P0 scheduling until owner action is accepted privately.,"The next valid step is closeout sprint, repeat testing, or no-go/archive.",Launch remains blocked,No
HOF-018,EVS-018,OSP-018,Repeat run,P1,Meeting chair,Owner action,"Accept, revise, or hold evidence need: Private calendar hold and stop trigger register.",Private evidence packet for OSP-018: Private calendar hold and stop trigger register.,Blocks repeat P0 scheduling until owner action is accepted privately.,Preparation continues; no pilot has been approved.,Launch remains blocked,No
