"id","title","track","priority","status","owner","acceptance","blockedBy"
"GHI-001","Create private Decidim app repository","Repository","P0","Hold","Technical/admin custodian","Private repo and maintainer list created.","Owner access list."
"GHI-002","Prepare provider-assisted sandbox RFQ","Provider","P0","Ready","Provider access owner","RFQ packet approved for fake/sample scope.","RFQ owner vote."
"GHI-003","Document self-build dependency gap","Runtime","P0","Ready","Technical/admin custodian","Ruby/PostgreSQL/image/app scaffold gaps documented.","None."
"GHI-004","Prove outbound email lock","Privacy","P0","Blocked","Privacy reviewer","No real email can send.","RES-006."
"GHI-005","Create fake seed import script","Data","P0","Ready","Pilot owner","Fake records import and can be wiped.","None."
"GHI-006","Run fake role assignment and revoke proof","Access","P0","Hold","Technical/admin custodian","Revoked fake account loses access.","RES-008/Access owner."
"GHI-007","Run fake export/delete/archive proof","IDS/data","P0","Blocked","IDS/data reviewer","Lifecycle proof accepted.","RES-003."
"GHI-008","Draft provider access terms","Provider","P0","Hold","Provider access owner","Terms cover access, deletion, export, exit.","RES-009."
"GHI-009","Create Barayamal minimum field schedule","Barayamal","P0","Blocked","Barayamal custodian","Sensitive fields removed.","RES-011."
"GHI-010","Create Toastmasters official-route boundary note","FN Toastmasters","P0","Blocked","Official-route owner","Official systems stay outside Decidim.","RES-005."
"GHI-011","Write support/pause/withdrawal drill","Support","P0","Blocked","Support owner","Support drill passes.","RES-004."
"GHI-012","Write privacy notice and consent text","Privacy","P0","Blocked","Privacy reviewer","Notice accepted privately.","RES-002."
"GHI-013","Prepare public-safe status update","Comms","P1","Ready","Comms lead","Text says decision/build prep only.","Comms review."
"GHI-014","Set secrets, logs, and monitoring policy","Security","P0","Blocked","Security reviewer","No secrets public; monitoring route documented.","RES-010."
"GHI-015","Prepare admin training handoff","Training","P1","Hold","Community admin trainer","Fake admin can complete key tasks.","RES-013."
"GHI-016","Create mobile/accessibility QA script","QA","P1","Hold","Accessibility reviewer","Critical flows pass mobile/access checks.","RES-014."
"GHI-017","Prepare no-go/archive public line","Closeout","P1","Ready","Closeout archivist","Archive/no-go can be public-safe.","RES-018."
"GHI-018","Bundle private owner meeting minutes","Meeting","P0","Hold","Meeting chair","Private minutes record ballots and actions.","Quorum and blockers."
"GHI-019","Create implementation action register","Meeting","P0","Ready","Pilot owner","Every action has owner, due date, blocker, next check.","None."
"GHI-020","Prepare manual GitHub issue import fallback","Build handoff","P1","Ready","Technical/admin custodian","Tickets can be created manually if auth scope is limited.","None."
"GHI-021","Draft provider sandbox acceptance checklist","Provider","P0","Hold","Provider access owner","Acceptance covers email, access, backups, delete, exit.","RFQ response."
"GHI-022","Create limited private pilot preconditions checklist","Authority","P0","Blocked","Authority chair","All critical ballots pass before private pilot option.","BAL-001/BAL-023."
