id,organisation,sampleTrack,fakeRecord,result,owner,acceptedFields,blockedFields,finding,nextAction
BAR-001,Barayamal,Founder,Fake Barayamal founder/business-owner sample 1,Accepted,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Controlled fake/sample path works without sensitive fields,Carry forward to repeat run
BAR-002,Barayamal,Business owner,Fake Barayamal founder/business-owner sample 2,Accepted,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Controlled fake/sample path works without sensitive fields,Carry forward to repeat run
BAR-003,Barayamal,Mentor/supporter,Fake Barayamal founder/business-owner sample 3,Accepted,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Controlled fake/sample path works without sensitive fields,Carry forward to repeat run
BAR-004,Barayamal,Founder,Fake Barayamal founder/business-owner sample 4,Accepted,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Controlled fake/sample path works without sensitive fields,Carry forward to repeat run
BAR-005,Barayamal,Business owner,Fake Barayamal founder/business-owner sample 5,Accepted,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Controlled fake/sample path works without sensitive fields,Carry forward to repeat run
BAR-006,Barayamal,Mentor/supporter,Fake Barayamal founder/business-owner sample 6,Accepted,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Controlled fake/sample path works without sensitive fields,Carry forward to repeat run
BAR-007,Barayamal,Founder,Fake Barayamal founder/business-owner sample 7,Accepted,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Controlled fake/sample path works without sensitive fields,Carry forward to repeat run
BAR-008,Barayamal,Business owner,Fake Barayamal founder/business-owner sample 8,Accepted,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Controlled fake/sample path works without sensitive fields,Carry forward to repeat run
BAR-009,Barayamal,Mentor/supporter,Fake Barayamal founder/business-owner sample 9,Hold,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Copy or field label needs owner review,Revise sample copy and retest
BAR-010,Barayamal,Founder,Fake Barayamal founder/business-owner sample 10,Hold,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Copy or field label needs owner review,Revise sample copy and retest
BAR-011,Barayamal,Business owner,Fake Barayamal founder/business-owner sample 11,Hold,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Copy or field label needs owner review,Revise sample copy and retest
BAR-012,Barayamal,Mentor/supporter,Fake Barayamal founder/business-owner sample 12,Hold,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Copy or field label needs owner review,Revise sample copy and retest
BAR-013,Barayamal,Founder,Fake Barayamal founder/business-owner sample 13,Repeat required,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Repeat with stricter blocked-field wording,Revise sample copy and retest
BAR-014,Barayamal,Business owner,Fake Barayamal founder/business-owner sample 14,Repeat required,Barayamal custodian,"Alias, sample region, sample interest, fake consent flag","Real name, ABN, revenue, private business issue, phone, email, cultural material",Repeat with stricter blocked-field wording,Revise sample copy and retest
FNT-001,First Nations Toastmasters,Guest,Fake First Nations Toastmasters guest/member-boundary sample 1,Accepted,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Guest-support pathway is clearly fake/sample,Carry forward to repeat run
FNT-002,First Nations Toastmasters,Prospective member,Fake First Nations Toastmasters guest/member-boundary sample 2,Accepted,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Guest-support pathway is clearly fake/sample,Carry forward to repeat run
FNT-003,First Nations Toastmasters,Training volunteer,Fake First Nations Toastmasters guest/member-boundary sample 3,Accepted,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Guest-support pathway is clearly fake/sample,Carry forward to repeat run
FNT-004,First Nations Toastmasters,Guest,Fake First Nations Toastmasters guest/member-boundary sample 4,Accepted,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Guest-support pathway is clearly fake/sample,Carry forward to repeat run
FNT-005,First Nations Toastmasters,Prospective member,Fake First Nations Toastmasters guest/member-boundary sample 5,Accepted,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Guest-support pathway is clearly fake/sample,Carry forward to repeat run
FNT-006,First Nations Toastmasters,Training volunteer,Fake First Nations Toastmasters guest/member-boundary sample 6,Hold,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Language risks implying member service,Rewrite and retest with official-route owner
FNT-007,First Nations Toastmasters,Guest,Fake First Nations Toastmasters guest/member-boundary sample 7,Hold,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Language risks implying member service,Rewrite and retest with official-route owner
FNT-008,First Nations Toastmasters,Prospective member,Fake First Nations Toastmasters guest/member-boundary sample 8,Hold,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Language risks implying member service,Rewrite and retest with official-route owner
FNT-009,First Nations Toastmasters,Training volunteer,Fake First Nations Toastmasters guest/member-boundary sample 9,Hold,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Language risks implying member service,Rewrite and retest with official-route owner
FNT-010,First Nations Toastmasters,Guest,Fake First Nations Toastmasters guest/member-boundary sample 10,Hold,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Language risks implying member service,Rewrite and retest with official-route owner
FNT-011,First Nations Toastmasters,Prospective member,Fake First Nations Toastmasters guest/member-boundary sample 11,Hold,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Language risks implying member service,Rewrite and retest with official-route owner
FNT-012,First Nations Toastmasters,Training volunteer,Fake First Nations Toastmasters guest/member-boundary sample 12,Repeat required,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Repeat with official-boundary warnings visible,Rewrite and retest with official-route owner
FNT-013,First Nations Toastmasters,Guest,Fake First Nations Toastmasters guest/member-boundary sample 13,Repeat required,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Repeat with official-boundary warnings visible,Rewrite and retest with official-route owner
FNT-014,First Nations Toastmasters,Prospective member,Fake First Nations Toastmasters guest/member-boundary sample 14,Repeat required,Training owner,"Alias, sample attendance intent, sample speaking goal, fake consent flag","Member number, payment, education record, officer role, official club record, incident, election",Repeat with official-boundary warnings visible,Rewrite and retest with official-route owner
