id,sample,status,owner,testStep,blockedFields,acceptanceCriteria
BFC-001,Barayamal founder/business-owner closeout sample 1,Ready,Barayamal custodian,Check blocked-field absence and sample-only wording.,"Real name, ABN, revenue, phone, email, private business issue, cultural material","Owner accepts that no real, official, sensitive, or live-service data is collected."
BFC-002,Barayamal founder/business-owner closeout sample 2,Ready,Barayamal custodian,"Check support, feedback, and public-safe line.","Real name, ABN, revenue, phone, email, private business issue, cultural material","Owner accepts that no real, official, sensitive, or live-service data is collected."
BFC-003,Barayamal founder/business-owner closeout sample 3,Ready,Barayamal custodian,Check blocked-field absence and sample-only wording.,"Real name, ABN, revenue, phone, email, private business issue, cultural material","Owner accepts that no real, official, sensitive, or live-service data is collected."
BFC-004,Barayamal founder/business-owner closeout sample 4,Ready,Barayamal custodian,"Check support, feedback, and public-safe line.","Real name, ABN, revenue, phone, email, private business issue, cultural material","Owner accepts that no real, official, sensitive, or live-service data is collected."
BFC-005,Barayamal founder/business-owner closeout sample 5,Ready,Barayamal custodian,Check blocked-field absence and sample-only wording.,"Real name, ABN, revenue, phone, email, private business issue, cultural material","Owner accepts that no real, official, sensitive, or live-service data is collected."
BFC-006,Barayamal founder/business-owner closeout sample 6,Revise,Barayamal custodian,"Check support, feedback, and public-safe line.","Real name, ABN, revenue, phone, email, private business issue, cultural material","Owner accepts that no real, official, sensitive, or live-service data is collected."
BFC-007,Barayamal founder/business-owner closeout sample 7,Revise,Barayamal custodian,Check blocked-field absence and sample-only wording.,"Real name, ABN, revenue, phone, email, private business issue, cultural material","Owner accepts that no real, official, sensitive, or live-service data is collected."
BFC-008,Barayamal founder/business-owner closeout sample 8,Revise,Barayamal custodian,"Check support, feedback, and public-safe line.","Real name, ABN, revenue, phone, email, private business issue, cultural material","Owner accepts that no real, official, sensitive, or live-service data is collected."
BFC-009,Barayamal founder/business-owner closeout sample 9,Retest,Barayamal custodian,Check blocked-field absence and sample-only wording.,"Real name, ABN, revenue, phone, email, private business issue, cultural material","Owner accepts that no real, official, sensitive, or live-service data is collected."
BFC-010,Barayamal founder/business-owner closeout sample 10,Retest,Barayamal custodian,"Check support, feedback, and public-safe line.","Real name, ABN, revenue, phone, email, private business issue, cultural material","Owner accepts that no real, official, sensitive, or live-service data is collected."
