id,linkedResult,area,severity,owner,defaultState,defect,remediation,acceptanceNeeded,publicSafeLine
DEF-001,RES-001,Authority,P0,Authority chair,Blocked,Authority quorum and final-decision evidence is not accepted.,"Record private authority minute, alternate rule, and decision rights.",Authority chair signoff.,No pilot has been approved.
DEF-002,RES-002,Privacy,P0,Privacy reviewer,Blocked,Consent withdrawal and outbound-contact proof is incomplete.,"Close consent, withdrawal, deletion, and no-email acceptance note.",Privacy reviewer signoff.,No real participant records are used.
DEF-003,RES-003,IDS/data,P0,IDS/data steward,Hold,Evidence custody export is not fully linked to retention and deletion rules.,"Attach custody index, deletion rule, redaction rule, and private export reference.",IDS/data steward signoff.,Data controls remain private.
DEF-004,RES-004,Official boundary,P0,Official-route owner,Accepted,Official no-record check passed in sample path.,Keep official records and endorsement claims excluded.,Monitor only.,Official Toastmasters workflows are not active.
DEF-005,RES-005,Barayamal,P1,Barayamal sample owner,Accepted,Founder/business-owner sample path passed with fake labels.,Keep sample labels and excluded-data warnings visible.,Monitor only.,Barayamal remains a controlled fake/sample organisation test.
DEF-006,RES-006,Barayamal,P1,Barayamal sample owner,Hold,Moderation appeal route lacks final owner note.,Add moderation owner note and appeal evidence reference.,Barayamal sample owner signoff.,Barayamal remains fake/sample only.
DEF-007,RES-007,FN Toastmasters,P1,FN Toastmasters sample owner,Accepted,Guest inquiry path passed with sample limits.,Keep guest path outside official Toastmasters systems.,Monitor only.,First Nations Toastmasters remains an unofficial fake/sample tester.
DEF-008,RES-008,FN Toastmasters,P1,Official-route owner,Hold,Member-boundary support script needs second official-boundary check.,"Add official-route owner note that no member, officer, payment, club, incident, election, or education data is used.",Official-route owner signoff.,No official Toastmasters workflow is active.
DEF-009,RES-009,Provider,P0,Provider access owner,Blocked,Provider refusal/RFQ evidence is not accepted.,"Capture provider refusal proof, RFQ fake/sample boundary, access audit, and no-real-record public line.",Provider access owner signoff.,"No provider has access to real participant, organisation, or Toastmasters records."
DEF-010,RES-010,Communications,P0,Comms lead,Hold,Public wording could imply readiness beyond preparation.,Replace with preparation-only wording and block launch/provider/official claims.,Comms lead signoff.,Public status can say preparation only.
DEF-011,RES-011,Evidence,P0,Evidence custodian,Hold,Evidence vault export is not linked to final result minute.,"Add redacted export shell, index id, and minute reference.",Evidence custodian signoff.,Private evidence is not published.
DEF-012,RES-012,Support,P1,Support owner,Hold,Offline/yarning import needs consent and stop route acceptance.,"Add withdrawal marker, sensitive-material stop trigger, and support route.",Support owner signoff.,Offline import remains fake/sample only.
DEF-013,RES-013,Technical,P1,Technical custodian,Accepted,Mobile/low-bandwidth sample check passed.,Keep production credentials absent and mobile screenshot evidence private.,Monitor only.,Technical test remains fake/sample only.
DEF-014,RES-014,Decision,P0,Meeting chair,Blocked,Final decision packet lacks accepted P0 pass chain.,Return to remediation and rerun blocked P0 items.,Meeting chair and authority chair signoff.,Repeat P0 result is private until accepted.
DEF-015,RES-002,Outbound email,P0,Privacy reviewer,Accepted,Outbound email stayed disabled in sample result.,Keep no-email lock until private privacy owner approves.,Monitor only.,No outbound email is active for real participants.
DEF-016,RES-013,Live Decidim,P0,Technical custodian,Accepted,No live credentials or production systems entered the sample run.,Keep live Decidim blocked until owner decision.,Monitor only.,Live Decidim access remains blocked.
