id,action,status,owner,sourceDecision,dueStage,acceptance,publicBoundary
"CAR-001","Book private authority review","Blocked","Authority chair","ODR-001","Before next meeting","Authority route confirmed or no-go.","Status only."
"CAR-002","Approve privacy field schedule","Blocked","Privacy reviewer","ODR-002","Before any real intake","Minimum fields and retention rule approved.","No private fields public."
"CAR-003","Approve IDS/data controls","Blocked","IDS/data reviewer","ODR-003","Before any data processing","Control/access/export/delete accepted.","Aggregate only."
"CAR-004","Confirm support route","Blocked","Support owner","ODR-004","Before real intake","Pause/withdrawal/complaint/incident routes pass.","No support details."
"CAR-005","Confirm Toastmasters official boundary","Blocked","Official-route owner","ODR-005","Before member route","Member/guest/official-record boundary accepted.","No official records."
"CAR-006","Draft Toastmasters guest-only wording","Hold","Official-route owner","ODR-006","Before guest-only rehearsal","Guest path does not imply membership.","No member records."
"CAR-007","Approve Barayamal field minimisation","Hold","Barayamal program operator","ODR-009","Before Barayamal-only rehearsal","Business-sensitive fields removed/minimised.","No business details."
"CAR-008","Collect Dean advisory comments","Ready","Pilot owner","ODR-010","Before next meeting","Advisory comments captured as non-approval.","Advisory only."
"CAR-009","Run access revoke proof","Hold","Technical/admin custodian","ODR-013","Before sandbox rehearsal","Fake-account revoke proof passes.","No logs."
"CAR-010","Run backup/export/delete proof","Hold","Technical/admin custodian","ODR-013","Before sandbox rehearsal","Fake-data proof passes.","No backups/exports."
"CAR-011","Decide provider access boundary","Hold","Provider access owner","ODR-014","Before provider route","Provider access is contract-bound and revocable.","No provider logs."
"CAR-012","Approve redaction checklist","Hold","Comms lead","ODR-015","Before public update","All blocked/hold redactions closed.","Public-safe line only."
"CAR-013","Update public release note","Ready","Comms lead","ODR-015","After approval meeting","Public update says fake/sample only and hold posture.","No private evidence."
"CAR-014","Archive unresolved evidence index","Hold","Closeout archivist","ODR-016","After meeting","Private evidence index stored; public package updated.","Index status only."
"CAR-015","Run second fake-data decision meeting","Available","Meeting chair","ODR-016","If blockers remain","Corrected evidence reviewed.","Public hold status."
"CAR-016","No-go or archive real intake","Available","Authority chair","ODR-016","If critical owner declines","Real intake stopped and public-safe note issued.","No private reasons."
