id,topic,owner,defaultDecision,approvedLine,blockedLine,sessionInstruction
PML-001,Overall,Comms lead,Ready,The public demo now includes an owner closeout sprint pack; no live pilot has been approved.,The project is ready for pilot.,"Approve the public-safe line only if it does not imply launch, real onboarding, official Toastmasters workflow, provider data access, or evidence publication."
PML-002,Owner closeout,Meeting chair,Ready,P0 owner closeout remains private and must pass before repeat testing.,Owners have approved launch.,"Approve the public-safe line only if it does not imply launch, real onboarding, official Toastmasters workflow, provider data access, or evidence publication."
PML-003,Repeat run,Meeting chair,Ready,The next valid operating step is repeat private fake/sample stress testing after owner closeout.,Repeat testing has passed.,"Approve the public-safe line only if it does not imply launch, real onboarding, official Toastmasters workflow, provider data access, or evidence publication."
PML-004,Barayamal,Barayamal custodian,Ready,Barayamal remains a controlled fake/sample organisation pathway.,Barayamal founders are being onboarded.,"Approve the public-safe line only if it does not imply launch, real onboarding, official Toastmasters workflow, provider data access, or evidence publication."
PML-005,First Nations Toastmasters,Training owner,Ready,First Nations Toastmasters remains a fake guest/member-boundary sample only.,Official Toastmasters members are being onboarded.,"Approve the public-safe line only if it does not imply launch, real onboarding, official Toastmasters workflow, provider data access, or evidence publication."
PML-006,Provider,Provider access owner,Ready,"No provider has access to real participant, organisation, or Toastmasters records.",A provider is reviewing real data.,"Approve the public-safe line only if it does not imply launch, real onboarding, official Toastmasters workflow, provider data access, or evidence publication."
PML-007,Evidence,IDS/data reviewer,Ready,Private evidence remains outside the public package.,Evidence can be shared publicly.,"Approve the public-safe line only if it does not imply launch, real onboarding, official Toastmasters workflow, provider data access, or evidence publication."
PML-008,Privacy,Privacy reviewer,Ready,Privacy and consent controls remain under private owner review.,Privacy approval is complete.,"Approve the public-safe line only if it does not imply launch, real onboarding, official Toastmasters workflow, provider data access, or evidence publication."
PML-009,Official boundary,Official-route owner,Ready,Official Toastmasters workflows are not active or approved in this demo.,Official Toastmasters processes are being tested live.,"Approve the public-safe line only if it does not imply launch, real onboarding, official Toastmasters workflow, provider data access, or evidence publication."
PML-010,Decision,Authority chair,Ready,No-go/archive remains explicit if P0 closeout does not pass.,Proceed is inevitable.,"Approve the public-safe line only if it does not imply launch, real onboarding, official Toastmasters workflow, provider data access, or evidence publication."
