"id","scenario","status","approvedLine","doNotSay","owner"
"PUB-001","Default v4.9 status","Ready","The project is in controlled private decision and build preparation using fake/sample data only.","The pilot has launched.","Comms lead"
"PUB-002","Owner meeting scheduled","Hold","A private owner decision meeting is being prepared.","Owners have approved live launch.","Meeting chair"
"PUB-003","Owner meeting held but blockers remain","Ready","The project remains in preparation while private blockers are reviewed.","Blocker details or owner names.","Comms lead"
"PUB-004","Provider RFQ approved","Hold","A fake/sample Decidim sandbox build route is under private review.","A provider has access to real data.","Provider access owner"
"PUB-005","Self-build prep chosen","Hold","Self-build prerequisites are being reviewed before any live Decidim access.","A live app is ready.","Technical/admin custodian"
"PUB-006","Barayamal lane repeats","Hold","Barayamal sample preparation continues with fake/sample records only.","Real founder applications are open.","Barayamal program operator"
"PUB-007","Toastmasters guest-only lane repeats","Hold","Guest-only sample preparation continues with official Toastmasters systems remaining separate.","Official Toastmasters records are in Decidim.","Training owner"
"PUB-008","No-go","Available","The project will not proceed at this time; the public demo remains a learning artefact.","Private reasons, names, or evidence.","Closeout archivist"
"PUB-009","Archive public-demo-only","Available","The public fake/sample demo remains available as a learning artefact.","Private archive contents.","Closeout archivist"
"PUB-010","Limited private pilot not approved","Ready","No limited private pilot has been approved.","Applications are open.","Authority chair"
"PUB-011","Public update held","Ready","No public update will be issued until private wording is approved.","Silence means approval.","Comms lead"
"PUB-012","Future decision","Hold","A further private decision will be made after critical owner votes and blockers are reviewed.","Launch date promised.","Meeting chair"
