id,phase,gate,status,owner,evidence,publicEvidence,noGo
LG-001,Authority,Authority to open controlled intake confirmed,Required,Barayamal / Dean Foley,"Private launch authority note with approver, scope, and pause owner",Redacted launch authority gate only,Launch opens without named accountable authority
LG-002,Environment,Private environment smoke test passed,Required,Technical custodian,"Private form, record view, export, backup, and recovery smoke test",Environment smoke test complete summary,Real intake starts in GitHub Pages or public repository
LG-003,Privacy,Privacy notice live before collection,Required,Privacy reviewer,Approved notice text and version date in private intake route,Notice version only,Any real contact details collected before notice is visible
LG-004,Evidence,Public evidence boundary confirmed,Complete,QA reviewer,Screenshot and public-report redaction checklist signed for fake/sample outputs,Fake/sample public evidence only,"Real names, contacts, meeting links, access needs, or incidents appear in public evidence"
LG-005,Consent,Consent and withdrawal route live,Required,Pilot coordinator,"Consent text, withdrawal owner, response clock, and deletion path",Consent and withdrawal route exists,Participant cannot withdraw or ask what is stored
LG-006,Data,Minimum schema in private form only,Required,Data reviewer,Private intake form matches v2.8 minimum data schema,Schema template reference only,Open text fields collect sensitive details before review
LG-007,Access,Access register reviewed and time-limited,Required,Pilot approval reviewer,"Named access register with role, reason, approver, and review date",Access model summary,Shared admin account or unreviewed private access
LG-008,Official boundary,Official Toastmasters boundary accepted,Required,Toastmasters launch lead,"Official paperwork, membership, payment, and charter acceptance path separated",External official handoff boundary,"Official forms, signatures, member numbers, or payment details enter public package"
LG-009,Meeting,Meeting link private route ready,Required,Pilot coordinator,Private invite channel and access support instructions,Meeting coordination ready summary,"Meeting link appears in public page, public CSV, or screenshot"
LG-010,Demo,First demo agenda approved,Ready,Pilot coordinator,30-minute demo run sheet with moderator and support owner,Demo agenda template only,"Demo runs without moderator, support route, or pause wording"
LG-011,Founder readiness,Founder threshold model approved,Ready,Toastmasters launch lead,"Founder candidate, supporter, sponsor, and demo-first routes defined",Aggregate pathway summary,Supporters or demo-first attendees are counted as charter-ready founders
LG-012,Support,Access support contact ready,Ready,Access support contact,"Private support contact, follow-up rule, and escalation route",Support offered summary only,Access needs copied to public evidence or supporter reports
LG-013,Incident,Incident pause process rehearsed,Hold,Safety reviewer,"Fake-data incident drill with owner, pause wording, closure evidence",Incident route rehearsed summary,Incident handled only through informal chat with no record
LG-014,Learning,Weekly review calendar scheduled,Ready,Pilot authority,Four weekly review holds and closeout review booked,Review cadence summary,Pilot runs without weekly learning and safety review
LG-015,Communications,Launch communications approved,Hold,Pilot coordinator,"Public info, EOI receipt, demo invite, consent, and closeout messages approved",Template names and statuses only,Unapproved public wording implies official club status or guaranteed membership
LG-016,Dry run,Dry-run defects closed,Hold,Pilot operations team,Fake-data dry-run defect list closed or accepted with owner,Dry-run completion summary,Real intake opens while high-risk defects remain open
LG-017,Decision,Go/no-go decision recorded,Required,Pilot authority,"Private decision record with proceed, hold, or no-go result",Decision status only,Launch proceeds on informal chat approval
LG-018,Closeout,Closeout review date scheduled,Required,Data reviewer,"Retention, deletion, learning brief, and handoff closeout date",Closeout date and aggregate learning rule,Pilot starts without end-of-pilot deletion and learning decision
