id,lane,gate,status,owner,evidence,publicRule,noGo
AA-001,Authority,Pilot authority owner named,Required,Pilot authority,"Named person or body can approve, hold, or stop real pilot activation",Authority status only,Real intake opens without accountable authority
AA-002,Authority,Community authority pathway documented,Required,Governance reviewer,"Decision rights, consultation scope, and escalation route",Authority pathway summary only,Developer or repository maintainer becomes default authority
AA-003,Scope,Real pilot scope locked,Required,Pilot authority,"Purpose, participant group, exclusions, duration, and decision owner",Scope summary only,Pilot collects data beyond approved purpose
AA-004,Custody,Developer custody boundary recorded,Required,Barayamal / Dean Foley,What initial developer can maintain vs what community authority decides,Boundary only,Code custody is confused with First Nations authority
AA-005,Official boundary,Toastmasters official pathway separated,Required,Toastmasters launch lead,"Official forms, payments, signatures, member numbers, and charter records stay outside public package",External official status only,Official Toastmasters records enter public demo or public repository
AA-006,Data governance,Indigenous Data Sovereignty reviewer named,Required,Data reviewer,"Reviewer can approve data classes, storage, reporting, and deletion",Reviewer role only,Pilot starts without IDS review owner
AA-007,Privacy,Privacy reviewer named,Required,Privacy reviewer,"Reviewer can approve notice, consent, correction, withdrawal, retention, and PIA",Reviewer role only,Privacy decisions are made ad hoc
AA-008,Safety,Cultural safety and incident reviewer named,Required,Safety reviewer,"Pause, escalation, participant support, and incident pathway",Role summary only,Incident or safety concern lacks authority to pause
AA-009,Consent,Consent and withdrawal authority confirmed,Required,Privacy reviewer,Who approves consent text and withdrawal/correction handling,Template status only,Old or unclear consent is reused
AA-010,Reporting,Public reporting approver named,Required,QA reviewer,Who approves public-safe aggregate updates and redaction QA,Approval status only,Public report can identify private circumstances
AA-011,Environment,Private environment approver identified,Hold,Technical custodian,"Hosting, backups, access logs, admin roles, and support route decision",Hosting status only,Static public demo becomes system of record
AA-012,Support,Participant support owner identified,Hold,Access support contact,"Access support, plain-language help, and response clocks",Support model only,Participants cannot get help or withdraw safely
AA-013,Advice,Legal/privacy advice route confirmed,Hold,Pilot authority,"When to seek formal legal, privacy, or organisational advice",Advice route only,High-risk decision proceeds without advice route
AA-014,Funding,Funding or provider owner noted,Ready,Build delivery lead,"Who can request quote, approve budget, and hold provider boundary",Owner only,Provider is asked to handle real data before approval
AA-015,Continuity,Admin continuity plan drafted,Ready,Technical custodian,Backup admin and operator handover path,Capacity risk only,Only one person can operate or close the pilot
AA-016,Scale,Second-pilot authority route set,Required,Pilot authority,"Who decides repeat, scale, archive, no-go, or second pilot",Decision route only,"Second pilot opens from momentum, not authority"
AA-017,Archive,Archive and deletion authority drafted,Ready,Data reviewer,"Who can delete, retain, archive, or transfer records after pilot",Retention class only,Records linger without review date
AA-018,Decision,Final go/hold/no-go approval record required,Required,Pilot authority,Signed or recorded approval before real intake opens,Redacted decision status only,Pilot activates without recorded decision
