"id","risk","severity","status","control","evidence"
"RSK-001","Real data entered in public demo","Critical","Blocked","Disable public collection; state fake/sample only.","No public form or storage."
"RSK-002","Member number collected","Critical","Blocked","Keep official member records external.","Never public field."
"RSK-003","Consent captured before approval","Critical","Blocked","Do not collect consent until private approvals pass.","Consent owner gate."
"RSK-004","Authority evidence published","Critical","Blocked","Publish only public-safe status.","Private authority folder."
"RSK-005","Business-sensitive details exposed","High","Hold","Minimise fields and block public export.","Barayamal field review."
"RSK-006","Support or incident detail exposed","Critical","Blocked","Private support route only.","Support owner gate."
"RSK-007","Advisor treated as approver","High","Hold","Keep Dean/advisors advisory only.","Authority owner signs privately."
"RSK-008","Guest/member boundary blurred","High","Hold","Use official-route wording and separate guest flow.","No implied membership."
"RSK-009","Access not revoked","High","Hold","Prove revoke and access register before launch.","Technical proof."
"RSK-010","Retention/deletion unclear","Critical","Blocked","Approve retention and deletion rule privately.","Privacy/IDS gate."
"RSK-011","Provider sees excess data","High","Hold","Contract-bound least privilege only.","Provider access boundary."
"RSK-012","Public update overstates readiness","Medium","Ready","Use hold/status wording only.","Comms approval."
"RSK-013","Raw survey responses published","Critical","Blocked","Publish aggregate only if approved.","Never public field."
"RSK-014","Cultural material mishandled","Critical","Blocked","Stop public collection and route to cultural protocol review.","Cultural safety gate."
