id,step,status,owner,purpose,privateOutput,publicBoundary
"AGD-001","Open meeting and confirm fake-data scope","Ready","Meeting chair","Confirm this is a fake-data approval meeting only.","Private attendance note.","Public may say meeting was prepared, not who attended."
"AGD-002","Confirm authority owner and quorum rule","Blocked","Authority chair","Confirm the authority route is legitimate for the sample review.","Private authority confirmation.","No authority minutes public."
"AGD-003","Read advisory boundary","Ready","Pilot owner","Confirm Dean/Barayamal advice does not substitute for owner approval.","Private acknowledgement.","Public-safe boundary only."
"AGD-004","Review conflict and recusal register","Hold","Meeting chair","Identify owners who should observe, abstain, or leave an item.","Private conflict register.","No personal conflict details public."
"AGD-005","Review evidence docket","Hold","Evidence custodian","Confirm each evidence item is present, private, redacted, or blocked.","Private evidence docket.","Only evidence class/status public."
"AGD-006","Privacy and IDS/data decisions","Blocked","Privacy and IDS reviewers","Decide field, retention, export, delete, access, and evidence handling.","Private decision records.","Aggregate status only."
"AGD-007","Support and incident decisions","Blocked","Support owner","Decide pause, withdrawal, complaint, incident, correction routes.","Private support decision.","No support/incident details public."
"AGD-008","Official Toastmasters boundary decision","Blocked","Official-route owner","Decide guest-only/member route and official-record boundary.","Private official-route decision.","No official records public."
"AGD-009","Barayamal sample pathway decision","Hold","Barayamal program operator","Decide whether a Barayamal-only fake-data rehearsal can run.","Private track decision.","No business-sensitive details public."
"AGD-010","Technical sandbox decision","Hold","Technical/admin custodian","Decide access, revoke, backup, restore, export, and delete proof.","Private technical proof record.","No credentials/logs public."
"AGD-011","Risk acceptance round","Hold","Meeting chair","Accept, reject, or carry forward each risk.","Private risk register.","Risk class/status only."
"AGD-012","Public outcome redaction review","Hold","Comms lead","Approve what public update can say.","Private redaction checklist.","Public outcome line only."
"AGD-013","Carry-forward action assignment","Hold","Pilot owner","Assign owners and due stages for unresolved actions.","Private action log.","Public status only."
"AGD-014","Close decision posture","Hold","Authority chair","Choose hold, no-go, archive, second rehearsal, track-only rehearsal, provider route, or limited private pilot conditions.","Private decision record.","Public decision posture only."
