"id","route","status","owner","trigger","action","publicBoundary"
"SUP-001","Pre-intake question","Ready","Support owner","Participant asks what the pilot is.","Answer with public-safe information and private contact path.","No real data in public chat."
"SUP-002","Pause request","Hold","Consent owner","Participant wants to pause before submitting.","Pause private workflow and confirm next option.","Do not publish pause status."
"SUP-003","Withdrawal request","Hold","Consent owner","Participant withdraws from private intake.","Stop processing and apply retention/deletion rule.","No withdrawal evidence public."
"SUP-004","Data correction request","Hold","Privacy reviewer","Participant asks to correct private record.","Route to private correction path.","No correction details public."
"SUP-005","Support need raised","Blocked","Support owner","Participant indicates a support need.","Use private support route only.","Never publish support details."
"SUP-006","Complaint received","Blocked","Complaint owner","Participant raises complaint.","Use private complaint process.","Never publish complaint details."
"SUP-007","Incident reported","Blocked","Incident owner","Incident or safety risk is reported.","Escalate privately and pause intake if needed.","Never publish incident details."
"SUP-008","Official Toastmasters question","Hold","Official-route owner","Participant asks about official membership.","Redirect to official external route.","No official record in Decidim."
"SUP-009","Business-sensitive information risk","Hold","Barayamal program operator","Founder/business owner may disclose sensitive detail.","Use minimised private fields or stop collection.","No commercial details public."
"SUP-010","Cultural material risk","Blocked","Cultural safety reviewer","Material may require cultural protocol review.","Stop public collection and route privately.","No cultural material public."
"SUP-011","Access help","Hold","Technical custodian","Participant cannot access private sandbox.","Resolve privately without publishing logs.","No credentials or logs public."
"SUP-012","Public correction","Ready","Comms lead","A public update needs correction.","Publish corrected public-safe wording.","No private evidence."
