"id","action","owner","status","due","input","output","publicSafe"
"HND-001","Send Dean advisory packet.","Pilot owner","Ready","T-minus 5","v4.7 control room.","Advisory comments.","Yes, packet title only."
"HND-002","Confirm Barayamal controlled sample owner.","Barayamal program operator","Hold","T-minus 4","Signoff board.","Owner acceptance or hold.","Status only."
"HND-003","Confirm Toastmasters training owner.","Training owner","Hold","T-minus 4","Signoff board.","Guest-only acceptance or hold.","Status only."
"HND-004","Request official-route boundary note.","Official-route owner","Blocked","T-minus 3","Toastmasters sample plan.","Boundary decision.","Status only."
"HND-005","Run consent wording review.","Privacy reviewer","Blocked","T-minus 3","Notice draft.","Privacy decision.","No."
"HND-006","Run IDS/data lifecycle tabletop.","IDS/data reviewer","Blocked","T-minus 2","Lifecycle script.","Custody/export/delete decision.","No."
"HND-007","Run support route drill.","Support owner","Blocked","T-minus 2","Support script.","Pause/withdrawal/complaint proof.","No."
"HND-008","Choose Decidim build path.","Technical/admin custodian","Hold","Day 0","Environment evidence.","Provider/self-build decision.","Status only."
"HND-009","Run access revoke proof.","Technical/admin custodian","Hold","Day 0","Sample roster.","Access evidence.","No."
"HND-010","Draft public-safe learning note.","Comms lead","Ready","Day 1","Aggregate findings.","Redacted public note.","Yes."
"HND-011","Prepare decision briefing.","Meeting chair","Hold","Day 2","Scorecard and signoffs.","Proceed/hold/repeat/no-go/archive options.","No."
"HND-012","Archive private rehearsal evidence.","Closeout archivist","Hold","Day 2","Private notes.","Archive index status.","Status only."
