id,linkedOwnerSprint,area,priority,owner,defaultVote,evidenceNeed,acceptanceTest,blocker,publicSafeLine,countedForRepeat
EVS-001,OSP-001,Authority,P0,Authority chair,Needs vote,Private authority roster and minute placeholder.,Chair and alternate recorded with quorum authority.,No named chair or unclear authority route.,Authority remains private and unresolved; no pilot has been approved.,No
EVS-002,OSP-002,Privacy,P0,Privacy reviewer,Needs vote,Private privacy copy approval.,Privacy reviewer accepts fake/sample-only wording.,Copy implies real intake or unclear withdrawal.,Privacy and consent controls remain under private owner review.,No
EVS-003,OSP-003,Privacy,P0,Privacy reviewer,Hold,Disabled outbound-email proof.,No real outbound email can send from the demo.,Any real email sends or live invite is implied.,No outbound email is active for real participants.,No
EVS-004,OSP-004,IDS/data,P0,IDS/data reviewer,Needs vote,Private data-rights drill evidence placeholder.,"Export, delete, retention, and custody pass privately.",Delete proof absent or retention unclear.,"Data export, deletion, and retention controls remain under private review.",No
EVS-005,OSP-005,Support,P0,Support owner,Needs vote,Private support drill minute.,Support owner confirms pause and escalation route.,Complaint path has no owner or no pause route.,Support routes are not live services.,No
EVS-006,OSP-006,Official boundary,P0,Official-route owner,Block,Private official-boundary note.,"No official member, payment, education, officer, or club workflow is active.",Any official Toastmasters workflow appears.,First Nations Toastmasters remains a fake/sample guest and boundary tester only.,No
EVS-007,OSP-007,Evidence,P0,IDS/data reviewer,Needs vote,Private custody index.,Public package shows only aggregate status and custody placeholders.,Private evidence details appear publicly.,Private evidence is not published in the public package.,No
EVS-008,OSP-008,Provider,P0,Provider access owner,Needs vote,Provider refusal proof and RFQ boundary approval.,Provider real-record asks are rejected and redirected to fake/sample schemas only.,"Provider receives or is promised real records, official records, outbound email, credentials, logs, or live access.","No provider has access to real participant, organisation, or Toastmasters records.",No
EVS-009,OSP-009,FN Toastmasters,P1,Training owner,Needs vote,Private copy review.,Guest support wording cannot read as official member service.,"Copy implies member service, officer, payment, education, or official record.",First Nations Toastmasters sample records do not represent official member services.,No
EVS-010,OSP-010,Security,P1,Security reviewer,Hold,Private security proof references.,Security reviewer accepts fake/sample environment proof.,"Credential, log, restore, or revoke proof missing.",No live Decidim access is approved by this public demo.,No
EVS-011,OSP-011,Access,P1,Security reviewer,Needs vote,Private access expiry proof.,"Admin access has expiry, revoke route, and owner approval.",Unrestricted or unowned admin access appears.,No live admin access is approved by this public demo.,No
EVS-012,OSP-012,Provider,P1,Provider access owner,Needs vote,Private RFQ approval reference.,"RFQ excludes real records, official Toastmasters data, outbound email, credentials, and live access.",Provider scope implies live or real-record access.,Provider or self-build options remain under fake/sample-only review.,No
EVS-013,OSP-013,Owners,P2,Meeting chair,Needs vote,Private quorum roster.,Every required owner has an alternate and attendance state.,No quorum or missing owner alternate.,Named owners must approve their own gates privately.,No
EVS-014,OSP-014,Barayamal,P2,Barayamal custodian,Accept,Private Barayamal sample review.,No real business-sensitive or contact fields appear.,Real business-sensitive field appears.,Barayamal remains a controlled fake/sample organisation test path.,Yes after owner signs
EVS-015,OSP-015,Communications,P2,Comms lead,Accept,Private comms approval reference.,Public line says preparation only and does not imply launch.,"Public wording implies approval, launch, or private evidence pass.",The public demo remains a fake/sample preparation tool; no live pilot has been approved.,Yes after owner signs
EVS-016,OSP-016,Documentation,P2,Documentation owner,Accept,Generated v5.5 package manifest.,"Reviewers can follow agenda, evidence, closeout, and decision paths.",Reviewer pack lacks closeout sprint steps.,The demo now includes an owner closeout sprint layer.,Yes after owner signs
EVS-017,OSP-017,Final minutes,P0,Meeting chair,Needs vote,Private final minute placeholder.,"Proceed, repeat, and no-go/archive options are explicit.",Decision minute implies proceed before closeout.,"The next valid step is closeout sprint, repeat testing, or no-go/archive.",No
EVS-018,OSP-018,Repeat run,P1,Meeting chair,Needs vote,Private calendar hold and stop trigger register.,"Calendar, quorum, evidence folder, and stop triggers are confirmed.",Repeat run starts before P0 closeout readiness.,Preparation continues; no pilot has been approved.,No
