id,sourceStressId,track,scenario,status,owner,privateEvidenceNeeded,runAction,passThreshold,publicSafeLine,liveStepBlocked
P0R-001,STS-001,Authority,Run critical authority route missing,Blocked until private run,Authority chair,"Private proof that critical authority route missing is blocked, contained, and reversible using fake/sample data only.",Inject the critical authority route missing failure with fake/sample records and require owner decision.,"Owner records Pass, Hold, or No-go and names rollback evidence.",Private preparation is continuing with fake/sample data only.,Yes
P0R-002,STS-002,Privacy,Run privacy notice and consent gap,Blocked until private run,Privacy reviewer,"Private proof that privacy notice and consent gap is blocked, contained, and reversible using fake/sample data only.",Inject the privacy notice and consent gap failure with fake/sample records and require owner decision.,"Owner records Pass, Hold, or No-go and names rollback evidence.",Private preparation is continuing with fake/sample data only.,Yes
P0R-003,STS-003,Privacy,Run outbound real email escape,Blocked until private run,Privacy reviewer,"Private proof that outbound real email escape is blocked, contained, and reversible using fake/sample data only.",Inject the outbound real email escape failure with fake/sample records and require owner decision.,"Owner records Pass, Hold, or No-go and names rollback evidence.",Private preparation is continuing with fake/sample data only.,Yes
P0R-004,STS-004,IDS/data,Run export/delete/retention failure,Blocked until private run,IDS/data reviewer,"Private proof that export/delete/retention failure is blocked, contained, and reversible using fake/sample data only.",Inject the export/delete/retention failure failure with fake/sample records and require owner decision.,"Owner records Pass, Hold, or No-go and names rollback evidence.",Private preparation is continuing with fake/sample data only.,Yes
P0R-005,STS-005,Support,Run support complaint and pause route failure,Blocked until private run,Support owner,"Private proof that support complaint and pause route failure is blocked, contained, and reversible using fake/sample data only.",Inject the support complaint and pause route failure failure with fake/sample records and require owner decision.,"Owner records Pass, Hold, or No-go and names rollback evidence.",Private preparation is continuing with fake/sample data only.,Yes
P0R-006,STS-006,FN Toastmasters,Run official Toastmasters boundary drift,Blocked until private run,Official-route owner,"Private proof that official Toastmasters boundary drift is blocked, contained, and reversible using fake/sample data only.",Inject the official Toastmasters boundary drift failure with fake/sample records and require owner decision.,"Owner records Pass, Hold, or No-go and names rollback evidence.",Private preparation is continuing with fake/sample data only.,Yes
P0R-007,STS-007,Security,Run credential or log exposure,Blocked until private run,Security reviewer,"Private proof that credential or log exposure is blocked, contained, and reversible using fake/sample data only.",Inject the credential or log exposure failure with fake/sample records and require owner decision.,"Owner records Pass, Hold, or No-go and names rollback evidence.",Private preparation is continuing with fake/sample data only.,Yes
P0R-008,STS-008,Evidence,Run private evidence custody leak,Blocked until private run,IDS/data reviewer,"Private proof that private evidence custody leak is blocked, contained, and reversible using fake/sample data only.",Inject the private evidence custody leak failure with fake/sample records and require owner decision.,"Owner records Pass, Hold, or No-go and names rollback evidence.",Private preparation is continuing with fake/sample data only.,Yes
P0R-009,STS-009,Barayamal,Run business-sensitive field creep,Ready to run,Barayamal custodian,"Private proof that business-sensitive field creep is blocked, contained, and reversible using fake/sample data only.",Inject the business-sensitive field creep failure with fake/sample records and require owner decision.,"Owner records Pass, Hold, or No-go and names rollback evidence.",Controlled sample testing is in progress; no live pilot has been approved.,Yes
P0R-010,STS-010,FN Toastmasters,Run guest support mistaken for member service,Ready to run,Training owner,"Private proof that guest support mistaken for member service is blocked, contained, and reversible using fake/sample data only.",Inject the guest support mistaken for member service failure with fake/sample records and require owner decision.,"Owner records Pass, Hold, or No-go and names rollback evidence.",Controlled sample testing is in progress; no live pilot has been approved.,Yes
P0R-011,STS-011,Provider,Run provider asks for real records,Ready to run,Provider access owner,"Private proof that provider asks for real records is blocked, contained, and reversible using fake/sample data only.",Inject the provider asks for real records failure with fake/sample records and require owner decision.,"Owner records Pass, Hold, or No-go and names rollback evidence.",Controlled sample testing is in progress; no live pilot has been approved.,Yes
