id,change,status,owner,reason,approvalNeeded,rollback
"CHG-001","Add v4.5 ledger to public demo","Ready","Pilot owner","Expose implementation controls publicly with fake/sample data.","Static demo owner.","Revert static page if needed."
"CHG-002","Create real Decidim app scaffold","Blocked","Technical/admin custodian","Needed for live sandbox, absent from static package.","Technical, authority, privacy, IDS.","Delete scaffold and archive notes."
"CHG-003","Configure participant accounts","Blocked","Technical/admin custodian","Requires access controls and consent route.","Authority, privacy, support.","Revoke accounts."
"CHG-004","Configure Toastmasters guest process","Hold","Training owner","Guest-only fake-data rehearsal may be allowed.","Official-route owner.","Remove process."
"CHG-005","Configure Barayamal sample process","Hold","Barayamal program operator","Barayamal-only fake-data rehearsal may be allowed.","Barayamal and privacy owners.","Remove process."
"CHG-006","Enable email notifications","Blocked","Technical/admin custodian","Participant notifications require privacy and SMTP controls.","Privacy, technical.","Disable email."
"CHG-007","Enable file uploads","Blocked","Technical/admin custodian","Upload risk until storage/redaction/protocols pass.","Privacy, IDS, cultural safety.","Disable uploads and delete files."
"CHG-008","Enable accountability tracker","Hold","Pilot owner","Useful for fake-data outcomes only.","Authority and comms.","Remove tracker."
"CHG-009","Add provider access","Hold","Provider access owner","Provider route may speed sandbox setup.","Provider boundary owner.","Revoke provider access."
"CHG-010","Publish public update","Hold","Comms lead","Public update after private meeting.","Comms and redaction owners.","Replace with corrected update."
"CHG-011","Import real participant list","Blocked","Authority chair","Not allowed until all critical locks pass.","All critical owners.","Do not import; delete if accidental."
"CHG-012","Import official Toastmasters records","Blocked","Official-route owner","Not allowed in current model.","Official-route owner.","Delete and report breach if accidental."
"CHG-013","Store support or incident details","Blocked","Support owner","Not allowed in public/demo spaces.","Support owner.","Move to private support route."
"CHG-014","Archive no-go outcome","Ready","Closeout archivist","No-go/archive is a valid safe outcome.","Authority chair.","Publish corrected status only."
