"id","metric","target","owner","evidence","guardrail"
"MET-001","Real records in public package","0","Pilot owner","Public package scan.","Any real personal/private record is a stop trigger."
"MET-002","Critical v4.5 release locks passed","100% before live access","Meeting chair","Implementation control review.","No partial critical-lock launch."
"MET-003","Barayamal sample case completion","10 of 14 minimum","Barayamal program operator","Private rehearsal notes.","Do not collect real business-sensitive data."
"MET-004","Toastmasters sample case completion","10 of 14 minimum","Training owner","Private rehearsal notes.","No official member/club/payment records."
"MET-005","Access revoke proof","Pass within 15 minutes","Technical/admin custodian","Private access test.","No logs public."
"MET-006","Support pause route","Pass before invite","Support owner","Support drill.","Any support uncertainty pauses intake."
"MET-007","Consent/notice clarity","No unresolved critical comments","Privacy reviewer","Owner comments.","No real invite while wording blocked."
"MET-008","Dean advisory notes triaged","100% owner-routed","Pilot owner","Triage record.","Advisory comments do not approve gates."
"MET-009","Mobile core flow pass","No horizontal overflow or blocked action","Pilot owner","Browser QA.","Accessibility issues become backlog items."
"MET-010","Public summary redaction","100% pass","Comms lead","Redaction checklist.","No private evidence or approval overstatement."
"MET-011","Rollback/no-go readiness","Pass","Closeout archivist","No-go template and archive index.","No private reasons public."
"MET-012","Backlog readiness","P0 tasks owner-assigned","Pilot owner","Build backlog.","Blocked P0 tasks cannot enter live sprint."
