"id","action","owner","priority","status","dueTrigger","input","output"
"ACT49-001","Prepare private authority note.","Authority chair","P0","Blocked","Before next owner meeting.","Authority evidence gap.","Authority pass/hold/no note."
"ACT49-002","Revise privacy notice and withdrawal wording.","Privacy reviewer","P0","Blocked","Before any private invite.","Privacy blocker.","Approved notice or hold."
"ACT49-003","Run IDS/data lifecycle proof.","IDS/data reviewer","P0","Blocked","Before any real data processing.","Lifecycle blocker.","Export/delete/archive proof."
"ACT49-004","Run support route drill.","Support owner","P0","Blocked","Before private invite.","Support blocker.","Support drill pass/hold."
"ACT49-005","Request official Toastmasters boundary note.","Official-route owner","P0","Blocked","Before Toastmasters member-adjacent lane.","Official-route blocker.","Boundary pass/hold/no."
"ACT49-006","Approve Barayamal minimum field schedule.","Barayamal custodian","P0","Blocked","Before Barayamal private prep.","Sensitive field blocker.","Minimum field schedule."
"ACT49-007","Prepare provider RFQ packet.","Provider access owner","P0","Ready","After meeting chair approves RFQ route.","RFQ table.","Provider request pack."
"ACT49-008","Document self-build dependency gap.","Technical/admin custodian","P0","Ready","Before self-build route decision.","Local dependency status.","Self-build prep note."
"ACT49-009","Prove email invite lock.","Privacy reviewer","P0","Blocked","Before any Decidim invite.","Email risk.","Email lock proof."
"ACT49-010","Draft provider access and exit terms.","Provider access owner","P0","Hold","Before provider access.","Provider RFQ.","Access/deletion/export/exit terms."
"ACT49-011","Write security monitoring and secrets policy.","Security reviewer","P0","Blocked","Before build handoff.","Security blocker.","Security pass/hold note."
"ACT49-012","Prepare admin training session.","Community admin trainer","P1","Hold","Before admin handoff.","Training blocker.","Training script/date."
"ACT49-013","Create mobile/accessibility QA script.","Accessibility reviewer","P1","Hold","Before participant workflow.","QA blocker.","QA checklist."
"ACT49-014","Approve public status line.","Comms lead","P1","Ready","After private decision route chosen.","Public status table.","Approved line or no update."
"ACT49-015","Prepare no-go/archive dated line.","Closeout archivist","P1","Ready","If no-go/archive route chosen.","Archive plan.","Public-safe no-go/archive line."
"ACT49-016","Create manual GitHub issue import fallback.","Technical/admin custodian","P1","Ready","Before ticket handoff.","Build ticket CSV.","Manual issue creation pack."
"ACT49-017","Finalize private minutes.","Meeting chair","P0","Hold","After owner meeting.","Ballots and blockers.","Private minutes."
"ACT49-018","Schedule next owner meeting trigger.","Pilot owner","P1","Hold","After blocker owners respond.","Action register.","Next decision date or hold."
