id,item,status,owner,redact,allowedPublic,failureAction
"RED-001","Names and contact details","Blocked","Privacy reviewer","All names, emails, phones.","Role labels only.","Do not publish."
"RED-002","Authority minutes","Blocked","Authority chair","Minutes, attendees, motions detail.","Decision posture only.","Hold public update."
"RED-003","Consent evidence","Blocked","Consent owner","Signatures, consent records, private acknowledgements.","Consent route status.","Do not publish."
"RED-004","Member numbers","Blocked","Official-route owner","All member numbers and official records.","Boundary status only.","Do not publish."
"RED-005","Payments and signatures","Blocked","Official-route owner","Payment/signature records.","External route status.","Do not publish."
"RED-006","Support and incident details","Blocked","Support owner","Support needs, complaints, incidents.","Support route status.","Do not publish."
"RED-007","Business-sensitive fields","Hold","Barayamal program operator","Business names/details unless approved.","Aggregate Barayamal learning.","Redact before public line."
"RED-008","Access logs and credentials","Blocked","Technical/admin custodian","Logs, credentials, URLs, backups, exports.","Technical proof status.","Do not publish."
"RED-009","Provider logs","Hold","Provider access owner","Provider tickets/logs/evidence.","Provider route status.","Redact before public line."
"RED-010","Cultural material","Blocked","Cultural safety reviewer","Cultural material and protocol details.","Protocol trigger status only.","Stop publication."
"RED-011","Risk owner evidence","Hold","Meeting chair","Private owner notes.","Risk category/status.","Redact notes."
"RED-012","Fake account details","Hold","Technical/admin custodian","Fake emails/passwords and access paths.","Fake-data rehearsal status.","Redact access info."
"RED-013","Public outcome wording","Ready","Comms lead","Overstatements of readiness.","Hold/fake-data-only wording.","Revise wording."
"RED-014","Screenshots and attachments","Hold","Evidence custodian","Any screenshot showing private values.","Cropped/redacted public-safe proof.","Block attachment."
