"id","step","status","owner","reviewScope","mustNotDo","output"
"REV-001","Accept trusted reviewer brief","Ready","Dean trusted reviewer","Understand v4.6 scope and sample-data-only limits.","Approve authority or participant intake.","Reviewer brief acknowledgement."
"REV-002","Review Barayamal sample workflow","Ready","Dean trusted reviewer","Check founder/business-owner flow clarity and usefulness.","Collect real founder data.","Advisory notes."
"REV-003","Review Toastmasters sample workflow","Ready","Dean trusted reviewer","Check guest/member-adjacent workflow clarity and official-record boundary.","Approve official Toastmasters route.","Advisory notes."
"REV-004","Review Decidim configuration backlog","Ready","Dean trusted reviewer","Check spaces, components, permissions, and fake seed records.","Create live accounts or deploy without locks.","Technical comments."
"REV-005","Review access and revoke controls","Hold","Technical/admin custodian","Confirm least-privilege and revoke test quality.","View private credentials/logs unless approved.","Access-control comment."
"REV-006","Review privacy/data minimisation","Hold","Privacy reviewer","Confirm fields are minimal and public-safe.","Replace privacy owner decision.","Privacy comment routed to owner."
"REV-007","Review support stop rules","Hold","Support owner","Confirm participant support and pause paths are visible in workflow.","Handle support or incident records publicly.","Support comment routed to owner."
"REV-008","Review public wording","Ready","Comms lead","Check public text does not imply live approval.","Publish private decisions or owner evidence.","Public wording comments."
"REV-009","Flag conflicts or uncertainty","Ready","Pilot owner","Record any reviewer conflict, uncertainty, or non-approval note.","Treat silence as approval.","Conflict/uncertainty log."
"REV-010","Triage advisory notes","Ready","Pilot owner","Convert comments into owner-routed tasks.","Close owner locks without owner sign-off.","Task triage record."
"REV-011","Publish advisory-safe summary","Hold","Comms lead","Share aggregate review themes only.","Name private evidence or participants.","Public-safe advisory summary."
"REV-012","Archive reviewer evidence privately","Hold","Closeout archivist","Keep review notes in private archive if they contain sensitive details.","Add review notes to public package.","Archive index status."
