id,option,decision,owner,useWhen,evidence,publicRule,noGo
DO-001,Proceed to second controlled pilot,Proceed,Pilot authority,All required closeout checks pass and operator load is sustainable,"Closeout record, learning metrics, no-go review, and approval",Proceed status and public-safe learning only,No deletion or access closeout evidence
DO-002,Hold and fix named gates,Hold,Pilot authority,Useful signal exists but one or more closeout controls remain unresolved,"Named hold actions, owner, due date, and recheck date",Hold reason summary only,Hold has no owner or review date
DO-003,No-go and close records,No-go,Pilot authority,No-go trigger occurred or the pilot cannot safely continue,"No-go record, deletion/retention proof, and participant closeout",No-go status and public-safe reason only,Records left open after no-go
DO-004,Continue public demo only,Ready,Barayamal / Dean Foley,"Real pilot is not ready, but public fake/sample review remains useful",Public demo backlog and safety boundary,Public demo remains fake/sample only,Public page implies real intake is open
DO-005,Move official Toastmasters pathway outside package,External,Toastmasters launch lead,Founder path needs official process outside Governance Commons public files,Official handoff status stored privately or externally,External handoff boundary only,Official records stored in public demo
DO-006,Build private Decidim pilot workspace,Proceed,Technical custodian,Pilot evidence supports a private Decidim environment beyond static public demo,"Hosting, roles, backups, privacy, and migration plan",Private workspace decision summary only,Static public demo becomes private system of record
DO-007,Seek provider quote for production,Ready,Build delivery lead,Scale requires external Decidim hosting or implementation capacity,"Scope, acceptance, privacy, source code, and handover requirements",Provider pathway only,Provider asks for real private pilot data during quote
DO-008,Seek community governance approval,Required,Governance reviewer,Any wider First Nations use needs authority beyond developer custody,"Authority pathway, consultation scope, and decision rights",Authority pathway summary only,Repository maintainers decide community authority
DO-009,Publish public learning note,Ready,QA reviewer,Closeout produced safe aggregate lessons,Redaction QA and aggregate-only public note,Public-safe learning only,Identities or private circumstances can be inferred
DO-010,Transfer initiative ownership,Hold,Pilot authority,Another organisation or group should operate the next stage,"Ownership, admin, data, and authority transfer record",Transfer status only,Ownership changes without data and access handover
DO-011,Archive pilot package,Required,Data reviewer,Pilot ends or pauses and records need closeout proof,"Archive index, deletion evidence, retention reasons, and review date",Archive status only,Archive contains public-excluded records
DO-012,Open wider EOI later,Hold,Pilot coordinator,Learning supports future broader interest but not immediate scale,"New notice, new authority, refreshed support capacity",Future EOI status only,Wider EOI opens on old consent and old gates
