"id","check","track","status","target","owner","evidence","decisionImpact"
"ACC-001","No real data in public package.","Cross-track","Pass","Zero real records.","Pilot owner","Static package scan.","Any failure stops release."
"ACC-002","Dean role remains advisory.","Dean review","Pass","No approval language.","Pilot owner","Reviewer scope note.","Advisory can continue."
"ACC-003","Barayamal sample approved.","Barayamal","Hold","Owner accepts fake/sample workflow.","Barayamal program operator","Sample brief.","Barayamal rehearsal waits."
"ACC-004","Barayamal sensitive fields removed.","Barayamal","Blocked","No ABN, revenue, contact, client, grant, business-plan fields.","Privacy reviewer","Field schedule.","No Barayamal real intake."
"ACC-005","Toastmasters guest-only sample approved.","FN Toastmasters","Hold","Training owner accepts guest-only boundary.","Training owner","Guest sample brief.","Toastmasters rehearsal waits."
"ACC-006","Official Toastmasters route boundary accepted.","FN Toastmasters","Blocked","Official route stays closed or explicitly scoped.","Official-route owner","Boundary note.","No member workflow."
"ACC-007","Consent and notice wording accepted.","Cross-track","Blocked","No unresolved critical comments.","Privacy reviewer","Notice signoff.","No private invite."
"ACC-008","Support and withdrawal route passed.","Cross-track","Blocked","Pause/withdraw/complaint drill pass.","Support owner","Support drill note.","No private invite."
"ACC-009","IDS/data lifecycle proof passed.","Cross-track","Blocked","Export/delete/custody proof accepted.","IDS/data reviewer","Lifecycle evidence note.","No real processing."
"ACC-010","Access revoke proof passed.","Access","Hold","Revoked fake account loses access.","Technical/admin custodian","Revoke proof.","No role provisioning."
"ACC-011","Email invite lock passed.","Decidim build","Blocked","No real outbound email before consent.","Privacy reviewer","Email lock proof.","No Decidim private invite."
"ACC-012","Decidim build path chosen.","Decidim build","Hold","Provider-assisted or self-build route selected.","Technical/admin custodian","Build path note.","No build sprint."
"ACC-013","Backup/export/restore/delete proof planned.","Decidim build","Hold","Lifecycle proof path defined.","Technical/admin custodian","Environment proof plan.","No live data."
"ACC-014","Public summary redaction passed.","Comms","Pass","No private evidence or approval claim.","Comms lead","Redaction checklist.","Public update allowed."
"ACC-015","Issue board owner coverage.","Cross-track","Pass","100% issues have owner and next action.","Pilot owner","Issue triage CSV.","Rehearsal can triage."
"ACC-016","Critical issues closed or held.","Cross-track","Blocked","Zero open critical before live intake.","Meeting chair","Issue board.","No live intake."
"ACC-017","No-go/archive route ready.","Closeout","Pass","Public-safe no-go/archive statement exists.","Closeout archivist","Archive route note.","Safe closeout available."
"ACC-018","Decision meeting evidence complete.","Cross-track","Hold","Scorecard, signoffs, issues, and handoffs reviewed.","Meeting chair","Private decision brief.","Decision waits."
