id,decision,track,status,owner,motion,evidenceRef,outcome,nextAction,publicSummary
"ODR-001","Authority pathway","Cross-track","Blocked","Authority chair","MOT-001","EVD-001","Hold","Schedule private authority review.","Authority pathway not public-ready."
"ODR-002","Privacy field schedule","Cross-track","Blocked","Privacy reviewer","MOT-009","EVD-002","Hold","Review and approve minimised fields.","Privacy conditions unresolved."
"ODR-003","IDS/data governance","Cross-track","Blocked","IDS/data reviewer","MOT-009","EVD-003","Hold","Approve control/access/export/delete.","Data governance unresolved."
"ODR-004","Support and incident route","Cross-track","Blocked","Support owner","MOT-007","EVD-004","Hold","Confirm support and safe stop rule.","Support route unresolved."
"ODR-005","Official Toastmasters member boundary","FN Toastmasters","Blocked","Official-route owner","MOT-004","EVD-005","Hold member route","Keep member route closed.","No official member records in Decidim."
"ODR-006","Toastmasters guest-only rehearsal","FN Toastmasters","Hold","Official-route owner","MOT-005","EVD-005","Hold","Review guest-only wording.","Guest-only rehearsal under review."
"ODR-007","Toastmasters meeting role sample","FN Toastmasters","Hold","Training owner","MOT-005","EVD-013","Hold","Confirm non-official sample meeting role script.","No official education record."
"ODR-008","Toastmasters public update","FN Toastmasters","Ready","Comms lead","MOT-001","EVD-015","Approved public-safe line","Publish hold status only.","Member route remains closed."
"ODR-009","Barayamal-only fake-data rehearsal","Barayamal","Hold","Barayamal program operator","MOT-003","EVD-006","Hold","Approve business-field minimisation.","Barayamal-only rehearsal under review."
"ODR-010","Barayamal mentor/advisor boundary","Barayamal","Ready","Pilot owner","MOT-006","EVD-007","Advisory accepted","Record advisory comments only.","Advisor is not an approver."
"ODR-011","Barayamal business-sensitive fields","Barayamal","Hold","Barayamal program operator","MOT-003","EVD-006","Hold","Remove or minimise business-sensitive fields.","No business-sensitive details public."
"ODR-012","Barayamal public learning line","Barayamal","Ready","Comms lead","MOT-003","EVD-015","Approved public-safe line","Publish aggregate learning only.","No founder/business names."
"ODR-013","Technical sandbox proof","Cross-track","Hold","Technical/admin custodian","MOT-008","EVD-009/EVD-010","Hold","Run revoke and backup/export/delete proof.","No logs, credentials, backups."
"ODR-014","Provider-assisted sandbox route","Cross-track","Hold","Provider access owner","MOT-010","EVD-014","Available with conditions","Decide provider access boundary.","No provider logs public."
"ODR-015","Public outcome line","Cross-track","Hold","Comms lead","MOT-001","EVD-012/EVD-015","Hold","Approve redaction checklist.","Public outcome says fake-data only."
"ODR-016","Overall pilot posture","Cross-track","Hold","Authority chair","MOT-001","All evidence","Hold","Close/carry forward every unresolved owner decision.","Real intake remains closed."
