id,linkedSampleTest,track,owner,resultState,fakeInput,acceptedEvidence,excludedData,nextAction,publicSafeLine
SMR-001,SMP-001,Barayamal,Barayamal sample owner,Passed with sample limits,"Fake founder name, fake venture, fake priority.",Sample owner confirms profile path works.,"Real names, ABNs, revenue, contacts, clients, private business records.",Continue fake/sample testing only.,Barayamal remains fake/sample only.
SMR-002,SMP-002,Barayamal,Barayamal sample owner,Passed with sample limits,Fake proposal for founder support priority.,"Proposal captured, moderated, and evidence referenced.",Real private business issues or cultural material.,Continue fake/sample testing only.,Barayamal remains fake/sample only.
SMR-003,SMP-003,Barayamal,Barayamal sample owner,Passed with sample limits,Fake support action and comment.,Support count and evidence note captured.,Real participant identity or contact details.,Continue fake/sample testing only.,Barayamal remains fake/sample only.
SMR-004,SMP-004,Barayamal,Barayamal sample owner,Hold,Fake flagged comment.,Private sample evidence held or blocked.,Real disputes or sensitive material.,Retest with owner signoff and excluded-data proof.,Barayamal remains fake/sample only.
SMR-005,SMP-005,Barayamal,Evidence custodian,Hold,Fake evidence record linked to Barayamal sample.,Private sample evidence held or blocked.,Private evidence contents.,Retest with owner signoff and excluded-data proof.,Private evidence is not published.
SMR-006,SMP-006,Barayamal,Comms lead,Hold,Fake public status line.,Private sample evidence held or blocked.,Pilot or launch claim.,Retest with owner signoff and excluded-data proof.,Public status can say preparation only.
SMR-007,SMP-007,First Nations Toastmasters,FN Toastmasters sample owner,Passed with sample limits,Fake guest inquiry.,Guest-boundary result captured.,Official member or club records.,Continue fake/sample testing only.,First Nations Toastmasters remains unofficial fake/sample only.
SMR-008,SMP-008,First Nations Toastmasters,FN Toastmasters sample owner,Hold,Fake support action without member number.,Private sample evidence held or blocked.,"Official member numbers, payments, officer roles, club records, incidents, elections, or education records.",Retest with owner signoff and excluded-data proof.,No official Toastmasters workflow is active.
SMR-009,SMP-009,First Nations Toastmasters,FN Toastmasters sample owner,Hold,Fake RSVP record.,Private sample evidence held or blocked.,Official Toastmasters meeting records.,Retest with owner signoff and excluded-data proof.,First Nations Toastmasters remains unofficial fake/sample only.
SMR-010,SMP-010,First Nations Toastmasters,Official-route owner,Blocked,Fake role label only.,Private sample evidence held or blocked.,Officer roles or club records.,Retest with owner signoff and excluded-data proof.,Official Toastmasters workflows are not active.
SMR-011,SMP-011,First Nations Toastmasters,Official-route owner,Blocked,No education or payment data entered.,Private sample evidence held or blocked.,"Education records, payments, member dues.",Retest with owner signoff and excluded-data proof.,Official Toastmasters workflows are not active.
SMR-012,SMP-012,First Nations Toastmasters,Comms lead,Hold,Fake public status line.,Private sample evidence held or blocked.,Official endorsement or launch claim.,Retest with owner signoff and excluded-data proof.,First Nations Toastmasters remains a tester only.
