id,theme,title,status,owner,evidence,stop_condition
G-001,Authority,Controlled sample status clear,Required,Barayamal,Page states the initiative is a controlled sample and not official membership infrastructure,Public page implies official membership or charter acceptance
G-002,Data,Real intake stays off demo,Required,Barayamal,Real intake remains on Barayamal and official Toastmasters forms,"Public demo collects private contact, address, member number, access need, payment, or signature data"
G-003,Charter,20 founding member target modelled,Open,Launch team,Readiness dashboard can show fake count against 20-person charter target,Fake counts are treated as real charter roster
G-004,Charter,17 non-dual gate modelled,Open,Launch team,Sample gate separates existing member dual supporter tracks from charter-ready pathways,Supporters or demo-first contacts are counted as charter-ready members
G-005,Charter,Officer slate modelled,Open,Launch team,"Sample roles include President, one Vice President, and Secretary or Secretary/Treasurer held by three people",Officer interest is published with real names or treated as elected
G-006,Privacy,Data classification approved,Hold,Privacy reviewer,"Public, restricted, and never-public fields are classified before live import","Real personal data appears in public demo, GitHub, screenshots, or Decidim exports"
G-007,Access,Demo access needs protected,Hold,Launch team,"Access needs are handled privately, not published in public pages or issue trackers",Access needs become visible in public demo data
G-008,Organisation,Organisation role boundary clear,Ready,Barayamal,"Organisations can be supporters, referrers, hosts, mentors, or reviewers without controlling member data",Organisation role implies authority over Toastmasters acceptance or community/member records
G-009,Official process,Official paperwork separate,Required,Toastmasters launch team,"Official applications, roster, officer forms, sponsorship/payment reconciliation, and charter submission stay outside this public package",Governance Commons is treated as official Toastmasters paperwork
G-010,Safety,Cultural safety and moderation path,Hold,Barayamal,"Public participation rules, moderation path, and support contact are defined before live comments",Live public discussion opens without moderation or support path
G-011,Decidim,Public components use fake data first,Ready,Builder,"Pages, meetings, proposals, survey, and accountability use sample records only",Real member or application data is imported into public Decidim space
G-012,Decision,Real pilot approval separate,Required,Community authority,"Any real First Nations organisation onboarding requires separate authority, privacy, data, cultural safety, hosting, and support approvals",Sample initiative is treated as real community authority
