id,component,decidimFeature,status,targetSpace,configuration,acceptance
DBC-001,Process rules page,Page,Ready,Community Governance Hub,"Plain-language process scope, who can participate, decision method, privacy boundary, and public-data rule.",Page renders with fake text only.
DBC-002,Community priorities proposals,Proposals,Configure,Community Governance Hub,"Collect fake priorities and allow admin answers, states, tags, and meeting-origin links.","Create, moderate, answer, and export fake proposals."
DBC-003,Yarning circle meetings,Meetings,Configure,Yarning circle meeting calendar,"Publish fake agendas, registrations if needed, minutes, attachments boundary, and proposal links.",Meeting minutes publish without private attendee records.
DBC-004,Learning survey,Survey,Configure,First Nations Toastmasters controlled sample,"Fake feedback questions for confidence, facilitation, access, safety, and process clarity.",Survey works with sample responses only.
DBC-005,Public updates blog,Blog,Ready,Commons public assembly,"Release notes, learning summaries, public-safe status updates, and no-authority caveats.",Post displays public-safe status only.
DBC-006,Action accountability tracker,Accountability,Configure,Public accountability updates,"Accepted priorities become trackable actions with owner type, status, due date, and public evidence.",Accepted fake proposal links to accountability item.
DBC-007,Budget rehearsal,Budgets,Hold,Participatory budget rehearsal,Fake budget projects and vote allocation after authority and proposal settings pass.,Budget flow held until process rules approved.
DBC-008,Authorizations and verification,Authorizations,Blocked,Authority approval process,Choose public-safe fake verification and private eligibility route without uploading real ID documents.,No real identity documents collected in public demo.
DBC-009,Component permission gates,Permissions,Configure,All pilot spaces,"Require selected authorizations for create, endorse, vote, comment, and admin actions.",Unauthorized fake user cannot perform restricted action.
DBC-010,Admin invite and revoke,Administrators,Configure,System organisation shell,"Invite sample admins, participant manager, and revoke access after test.",Revoked user loses admin panel access.
DBC-011,Offline import pathway,Proposals plus Meetings,Configure,Yarning circle meeting calendar,Convert offline yarning circle outcomes into fake proposals and minutes without personal details.,Offline note creates public-safe proposal summary.
DBC-012,Moderation and terms,Moderation,Configure,Community Governance Hub,"Terms, report route, moderation reasons, cultural safety notes, and abuse response.",Reported fake content can be hidden and logged.
DBC-013,Official Toastmasters boundary page,Page,Ready,First Nations Toastmasters controlled sample,"State official forms, payments, member numbers, and charter acceptance stay outside the demo unless separately approved.",Boundary page is visible before sample process links.
DBC-014,Private authority motions,Proposals,Blocked,Authority approval process,Use private process only for quorum and motions; public page shows status but no decision evidence.,Blocked until private environment exists.
DBC-015,Partner response board,Debates,Hold,Partner accountability tracker,Allow structured fake partner responses and unresolved issue notes after moderation rules pass.,Partner cannot control process or access private data.
DBC-016,Participant newsletter,Newsletter,Hold,Commons public assembly,"Send only public-safe updates after privacy notice, consent, unsubscribe, and sender identity pass.",Held until SMTP and notice are approved.
DBC-017,Map fields off by default,Maps,Configure,Meetings and proposals,Disable or minimise location precision unless private approval permits location fields.,No precise private addresses in public content.
DBC-018,Open data and exports,Open data,Hold,System organisation shell,"Use scheduled exports only after redaction, privacy, and data-governance review.",Public export excludes private and official records.
