"id","role","track","status","accessScope","revokeRule","restriction"
"ACC-001","Founder participant role","Barayamal","Hold","Minimum private participant access after approvals.","Revoke on withdrawal or closeout.","No admin access."
"ACC-002","Business owner participant role","Barayamal","Hold","Minimum private participant access after field approval.","Revoke on withdrawal or closeout.","No commercial exports."
"ACC-003","Mentor/advisor observer role","Barayamal","Ready","Observer/advisor access to approved material only.","Revoke after review window.","No private evidence by default."
"ACC-004","Partner observer role","Barayamal","Ready","Public-safe observer access only.","Revoke any private access immediately.","No private export."
"ACC-005","Dean trusted reviewer role","Cross-track","Ready","Trusted reviewer access to approved fake-data evidence.","Revoke after review.","No approval authority."
"ACC-006","Member tester role","FN Toastmasters","Blocked","Only after official-route acceptance.","Revoke if official boundary fails.","No member number access."
"ACC-007","Guest tester role","FN Toastmasters","Hold","Guest route only, no official membership implication.","Revoke on closeout.","No official records."
"ACC-008","Club facilitator role","FN Toastmasters","Hold","Sample activity facilitation only.","Revoke after rehearsal.","No official decisions."
"ACC-009","Authority reviewer role","Cross-track","Blocked","Private decision owner access.","Revoke after decision.","No public minutes."
"ACC-010","Privacy/IDS reviewer role","Cross-track","Blocked","Private field and data governance review.","Revoke after review.","No public evidence."
"ACC-011","Support owner role","Cross-track","Blocked","Private support, complaint, and incident route only.","Revoke if owner unavailable.","No support notes public."
"ACC-012","Technical custodian role","Cross-track","Hold","Admin only in private sandbox under access log.","Revoke after handoff.","No credentials public."
