"id","blocker","track","severity","status","owner","closureTest","nextAction"
"BLK-001","Authority route evidence missing.","Authority","Critical","Open","Authority chair","Private owner decision record exists.","Prepare authority note."
"BLK-002","Consent notice not accepted.","Privacy","Critical","Open","Privacy reviewer","Approved notice and withdrawal route.","Revise notice wording."
"BLK-003","IDS/data lifecycle proof not complete.","IDS/data","Critical","Open","IDS/data reviewer","Export/delete/archive proof accepted.","Run lifecycle tabletop."
"BLK-004","Support route not drilled.","Support","Critical","Open","Support owner","Pause, complaint, incident, withdrawal route passes.","Run support drill."
"BLK-005","Official Toastmasters boundary unresolved.","FN Toastmasters","Critical","Open","Official-route owner","Boundary note accepted.","Keep official routes closed."
"BLK-006","Email invite lock not proven.","Decidim build","Critical","Open","Privacy reviewer","Outbound real email disabled or sandboxed.","Prove email lock."
"BLK-007","Ruby/PostgreSQL/image tooling missing for self-build.","Decidim build","High","Open","Technical/admin custodian","Dependencies installed or provider route chosen.","Choose provider-assisted route or prepare self-build."
"BLK-008","Backup/restore/delete proof not run.","Decidim build","High","Open","Technical/admin custodian","Fake lifecycle proof passes.","Add lifecycle task to build backlog."
"BLK-009","Access revoke proof not complete.","Access","High","Open","Technical/admin custodian","Revoked fake account loses access.","Run revoke proof."
"BLK-010","Business-sensitive Barayamal fields need minimisation.","Barayamal","High","Open","Barayamal custodian","Minimum field list accepted.","Remove sensitive fields."
"BLK-011","Toastmasters feedback route needs support owner.","FN Toastmasters","High","Open","Support owner","Feedback/support split accepted.","Add support owner review."
"BLK-012","Provider access agreement not drafted.","Provider","High","Open","Provider access owner","Agreement covers access, data, deletion, exit.","Draft provider access terms."
"BLK-013","Security monitoring and audit path missing.","Security","High","Open","Security reviewer","Monitoring, audit, incident response planned.","Add security ticket."
"BLK-014","Admin handover training not scheduled.","Training","Medium","Open","Community admin trainer","Training session and support notes scheduled.","Schedule admin handover."
"BLK-015","Public wording could imply approval.","Comms","Medium","Ready","Comms lead","Public text says fake/sample and hold.","Use v4.8 wording."
"BLK-016","Dean advisory comments need routing.","Dean review","Medium","Ready","Pilot owner","All comments become owner tasks or notes.","Use ticket backlog."
"BLK-017","Ticket priority needs owner review.","Build handoff","Medium","Open","Meeting chair","All P0/P1 tickets owner-routed.","Review backlog priorities."
"BLK-018","Mobile/accessibility QA path not assigned.","Build handoff","Medium","Open","Accessibility reviewer","QA owner and acceptance checks listed.","Assign accessibility reviewer."
"BLK-019","No-go/archive line needs date.","Closeout","Low","Ready","Closeout archivist","Archive line can be issued safely.","Add date at decision meeting."
"BLK-020","Repository/project scope for GitHub CLI is limited.","Build handoff","Medium","Open","Technical/admin custodian","Issue import path is manual or auth scope updated.","Use manual import or update auth scope."
