id,stage,status,owner,evidence,decisionRule,readySignal,noGo
ST-001,Public demo foundation,Ready,Demo steward,"index.html, docs-index.html, document.html, package manifest, release validation",Use as public front door only,Current package version is v3.3 and live entrypoints pass,Public demo contains private data
ST-002,Organisation onboarding,Ready,Organisation onboarding lead,organisation-onboarding.html and v2.5 package,First Nations organisations can be modelled safely with fake/sample data,Join/support tracks and data boundary are public-safe,Organisation support role implies private authority
ST-003,Private pilot readiness,Ready,Pilot readiness lead,private-pilot-readiness.html and v2.6 package,Real records stay out until readiness gates pass privately,"Readiness, role access, and data-transfer controls are mapped",Real workflow starts from public sample
ST-004,Pilot operations rehearsal,Ready,Pilot operator,private-pilot-ops.html and v2.7 package,"Run-day controls, participant states, incidents, and official handoff are rehearsed",Operations route is documented,Daily pause/support path is missing
ST-005,Private implementation preparation,Ready,Technical custodian,private-pilot-implementation.html and v2.8 package,"Private environment, schema, access, dry run, and decision record are prepared",Implementation data classes are locked,Public static demo becomes system of record
ST-006,Controlled launch design,Ready,Launch lead,private-pilot-launch.html and v2.9 package,"Launch gates, intake states, communications, and learning metrics are defined",Launch learning and closeout trigger exist,Intake opens without learning/closeout design
ST-007,Pilot closeout decision,Ready,Pilot authority,private-pilot-closeout.html and v3.0 package,"Closeout, deletion/retention, access review, evidence ledger, and scale decision are available",Closeout rules can govern any repeat or scale path,Pilot repeats or scales without closeout
ST-008,Authority approval,Hold,Pilot authority,private-pilot-authority.html and v3.1 package,"Authority, IDS, privacy, role access, notice, environment, and scale criteria must pass privately",Public model is ready; real signoff remains private,Developer custody substitutes for First Nations authority
ST-009,Activation drill,Hold,Pilot authority,private-pilot-activation-drill.html and v3.2 package,"Approval meeting, signoff, tabletop, evidence, rehearsal, and monitoring must be run with fake data",Public rehearsal package is ready; private decision not recorded,Activation starts without drill or monitoring
ST-010,Provider/build handoff,Hold,Build delivery lead,"Build Partner Desk, Build Delivery Control, fake package only","Any provider sees fake/sample data until contract, authority, and privacy pass",Provider scope and fake handoff path are defined,Provider receives production export too early
ST-011,Official Toastmasters pathway,Hold,Toastmasters launch lead,"Official forms, payments, signatures, member numbers, charter route outside demo",Official records remain external to Governance Commons public package,External boundary is documented,"Member number, payment, or charter record enters public/pilot files"
ST-012,Real activation decision,Blocked,Pilot authority,"Private authority record, signoff matrix, evidence packet, monitoring schedule","Only after private signoff, drill, no-go testing, and 72-hour monitor plan",Public demo says hold until private evidence exists,Real activation occurs from public page alone
