id,sourceRunId,track,scenario,outcome,severity,owner,evidenceStatus,issueStatus,repeatNeeded,decision,publicLine,nextAction
P0R-001,STS-001,Authority,Critical authority route missing,Hold,P0,Authority chair,Missing,Open,Yes,Hold until private authority chair is named and records authority proof.,Authority gates remain private and unresolved; no pilot has been approved.,Name authority chair and repeat authority proof run.
P0R-002,STS-002,Privacy,Privacy notice and consent gap,Repeat required,P0,Privacy reviewer,Partial,Open,Yes,"Repeat until consent, notice, withdrawal, and storage wording pass.",Privacy and consent controls remain under private review.,Rewrite consent copy and repeat the fake/sample consent run.
P0R-003,STS-003,Privacy,Outbound real email escape,Hold,P0,Privacy reviewer,Accepted with hold,Hold,Yes,Email remains disabled until outbound route proof is accepted.,No outbound email is active for real participants.,Repeat email-disabled test and add screenshot custody reference privately.
P0R-004,STS-004,IDS/data,"Export, delete, and retention failure",Repeat required,P0,IDS/data reviewer,Partial,Open,Yes,"Repeat until export, delete, and retention proof is accepted.","Data export, deletion, and retention controls remain under private review.",Run export/delete/retention drill with fake records and record private evidence.
P0R-005,STS-005,Support,Support complaint and pause route failure,Hold,P0,Support owner,Missing,Open,Yes,"Hold until complaint, pause, escalation, and closeout routes are proven.",Support routes are not live services.,Complete support pause drill and owner review.
P0R-006,STS-006,FN Toastmasters,Official Toastmasters boundary drift,No-go,P0,Official-route owner,Rejected,Open,Yes,No-go for any official Toastmasters workflow until official route is approved.,First Nations Toastmasters remains a fake/sample guest and boundary tester only.,Keep official systems out of scope and name the external official-route owner.
P0R-007,STS-007,Security,Credential or log exposure,Pass,P0,Security reviewer,Accepted,Closed,No,Pass for fake/sample run only; credentials and logs did not enter public package.,No credentials or private logs are published in the public demo.,Carry forward security checklist for next repeat run.
P0R-008,STS-008,Evidence,Private evidence custody leak,Hold,P0,IDS/data reviewer,Partial,Hold,Yes,Hold until evidence custody ledger is accepted and public replacements are confirmed.,Private evidence is not published in the public package.,Complete evidence redaction review and private custody index.
P0R-009,STS-009,Barayamal,Business-sensitive field creep,Pass,P0,Barayamal custodian,Accepted,Closed,No,Pass for controlled fake/sample organisation path only.,Barayamal remains a controlled fake/sample organisation test path.,Keep blocked field list visible in sample runbook.
P0R-010,STS-010,FN Toastmasters,Guest support mistaken for member service,Hold,P0,Training owner,Partial,Open,Yes,Hold until wording and support routing make the guest/member boundary unmistakable.,First Nations Toastmasters sample records do not represent official member services.,Rewrite guest-support copy and repeat sample workflow review.
P0R-011,STS-011,Provider,Provider asks for real records,Repeat required,P0,Provider access owner,Accepted with repeat,Open,Yes,Repeat provider-boundary drill and reject any real-record request.,"No provider has access to real participant, organisation, or Toastmasters records.",Retest provider request flow and prepare fake/sample-only RFQ language.
