id,auditEvent,status,owner,evidence,finding,nextAction
"AUD-001","v4.3 gates imported","Ready","Pilot owner","Gate package v4.3","Gate room exists.","Use v4.4 docket."
"AUD-002","Meeting scope set to fake-data only","Ready","Meeting chair","AGD-001","Scope safe.","Read at meeting open."
"AUD-003","Authority evidence unavailable","Blocked","Authority chair","EVD-001","Blocks real intake.","Book authority review."
"AUD-004","Privacy field schedule unavailable","Blocked","Privacy reviewer","EVD-002","Blocks data collection.","Review field schedule."
"AUD-005","IDS/data conditions unavailable","Blocked","IDS/data reviewer","EVD-003","Blocks data processing.","Review controls."
"AUD-006","Support route unavailable","Blocked","Support owner","EVD-004","Blocks real intake.","Confirm support route."
"AUD-007","Official Toastmasters boundary unresolved","Blocked","Official-route owner","EVD-005","Blocks member route.","Review official boundary."
"AUD-008","Barayamal minimisation pending","Hold","Barayamal program operator","EVD-006","Blocks Barayamal-only rehearsal.","Minimise fields."
"AUD-009","Dean advisory boundary ready","Ready","Pilot owner","EVD-007","Advisory boundary clear.","Collect comments."
"AUD-010","Technical revoke proof pending","Hold","Technical/admin custodian","EVD-009","Blocks sandbox launch.","Run revoke proof."
"AUD-011","Technical backup/export/delete pending","Hold","Technical/admin custodian","EVD-010","Blocks closeout.","Run operations proof."
"AUD-012","Redaction checklist pending","Hold","Comms lead","EVD-012","Blocks public update.","Close checklist."
"AUD-013","Cultural protocol stop rule blocked","Blocked","Cultural safety reviewer","EVD-016","Blocks any cultural material handling.","Confirm stop rule."
"AUD-014","Overall posture remains hold","Hold","Authority chair","ODR-016","Real intake remains closed.","Run private meeting."
