id,linkedCheck,blocker,area,owner,currentState,mustResolve,failureAction,sessionQuestion
BRD-001,RGN-001,Authority owner named,Authority,Authority chair,Blocked,Chair and alternate privately recorded,Do not run repeat lab,Can Authority chair accept this check today without using real records or official systems?
BRD-002,RGN-002,Consent and privacy copy accepted,Privacy,Privacy reviewer,Open,Privacy copy accepted for fake/sample testing,Hold privacy tests,Can Privacy reviewer accept this check today without using real records or official systems?
BRD-003,RGN-003,Outbound email disabled or contained,Privacy,Privacy reviewer,In review,No real email can send,Hold invite path,Can Privacy reviewer accept this check today without using real records or official systems?
BRD-004,RGN-004,Export/delete/retention proof accepted,IDS/data,IDS/data reviewer,Open,Data rights drill passes privately,Hold data test,Can IDS/data reviewer accept this check today without using real records or official systems?
BRD-005,RGN-005,Evidence custody index accepted,IDS/data,IDS/data reviewer,Open,Private evidence map and redaction rule pass,Hold public summary,Can IDS/data reviewer accept this check today without using real records or official systems?
BRD-006,RGN-006,Complaint/pause route accepted,Support,Support owner,Open,Support pause and escalation route pass,Hold support test,Can Support owner accept this check today without using real records or official systems?
BRD-007,RGN-007,Official Toastmasters boundary accepted,Official boundary,Official-route owner,Blocked,No official workflow is active or implied,Keep no-go,Can Official-route owner accept this check today without using real records or official systems?
BRD-008,RGN-008,Security restore and revoke proof accepted,Security,Security reviewer,In review,"Restore, revoke, credential, and log proof pass",Hold live access,Can Security reviewer accept this check today without using real records or official systems?
BRD-009,RGN-009,Provider refusal script accepted,Provider,Provider access owner,Open,Real-record asks are rejected,Hold provider test,Can Provider access owner accept this check today without using real records or official systems?
BRD-010,RGN-010,Barayamal samples accepted,Authority,Barayamal custodian,Ready,Blocked fields absent,Revise sample,Can Barayamal custodian accept this check today without using real records or official systems?
BRD-011,RGN-011,First Nations Toastmasters guest samples accepted,Authority,Training owner,Open,No official member service implied,Revise sample,Can Training owner accept this check today without using real records or official systems?
BRD-012,RGN-012,Public wording accepted,Communications,Comms lead,Ready,Preparation-only wording approved,Do not publish update,Can Comms lead accept this check today without using real records or official systems?
