"id","persona","track","role","status","allowedAction","blockedData","resetRule"
"ROS-001","Founder Sample A","Barayamal","Fake founder participant","Ready","Submit sample onboarding and program priorities.","Real name, email, phone, ABN, revenue, grant files.","Delete or reset after rehearsal."
"ROS-002","Founder Sample B","Barayamal","Fake founder participant","Ready","Vote on sample event poll and resource proposal.","Real contact or client detail.","Delete or reset after rehearsal."
"ROS-003","Business Owner Sample A","Barayamal","Fake business owner","Ready","Test minimum profile and mentor interest.","Business registration or financial data.","Delete or reset after rehearsal."
"ROS-004","Mentor Sample A","Barayamal","Fake mentor","Ready","Comment on fake mentor matching interest.","Real matching or contact exchange.","Delete or reset after rehearsal."
"ROS-005","Barayamal Operator Sample","Barayamal","Fake operator","Hold","Review sample proposals and export aggregate results.","Real admin credential.","Revoke role after test."
"ROS-006","Barayamal Reviewer Sample","Barayamal","Fake reviewer","Ready","Check public-safe summary wording.","Private evidence.","Delete after review."
"ROS-007","Guest Sample A","FN Toastmasters","Fake guest","Ready","Submit guest interest and agenda suggestion.","Member number or payment detail.","Delete or reset after rehearsal."
"ROS-008","Guest Sample B","FN Toastmasters","Fake guest","Ready","Test role sign-up and speaking goal survey.","Education path or official record.","Delete or reset after rehearsal."
"ROS-009","Member-Adjacent Sample A","FN Toastmasters","Fake participant","Ready","Test boundary notice and resource suggestion.","Official member data.","Delete or reset after rehearsal."
"ROS-010","Training Owner Sample","FN Toastmasters","Fake training owner","Hold","Review sample agenda, roles, and feedback route.","Official officer access.","Revoke role after test."
"ROS-011","Dean Reviewer Sample","Dean review","Fake reviewer account","Ready","Leave advisory comments only.","Approval decision or private evidence.","Archive comments privately if sensitive."
"ROS-012","Comms Reviewer Sample","Comms","Fake comms reviewer","Ready","Check public-safe wording.","Private owner reasons.","Delete after review."
"ROS-013","Privacy Reviewer Sample","Cross-track","Fake privacy reviewer","Hold","Review field schedule and consent wording.","Real participant record.","Revoke after private review."
"ROS-014","IDS Reviewer Sample","Cross-track","Fake data reviewer","Hold","Review export/delete/custody path.","Private data artefacts.","Revoke after private review."
"ROS-015","Support Owner Sample","Cross-track","Fake support owner","Hold","Run pause/withdrawal/complaint route.","Support case details.","Delete test case after rehearsal."
"ROS-016","Authority Chair Sample","Cross-track","Fake decision owner","Blocked","View scorecard and choose hold/repeat/no-go/archive only.","Unilateral live launch.","Revoke after decision rehearsal."
"ROS-017","Technical Custodian Sample","Decidim build","Fake admin custodian","Hold","Run role, email lock, export/delete proof.","Credentials or logs.","Rotate/revoke after test."
"ROS-018","Closeout Archivist Sample","Closeout","Fake archivist","Ready","Prepare public-safe no-go/archive status.","Private archive contents.","Delete public copy after test."
