"id","title","track","priority","status","source","acceptance","blockedBy"
"TCK-001","Create private Decidim app repository","Repository","P0","Hold","TBH-001","Private repo exists with maintainer access only.","Owner access list."
"TCK-002","Choose provider-assisted or self-build route","Decidim build","P0","Hold","DAG-010","Decision note names route and evidence.","Runtime/provider blockers."
"TCK-003","Document Ruby/PostgreSQL/image dependency plan","Runtime","P0","Blocked","TBH-002/TBH-003/TBH-004","Dependency plan approved or provider route chosen.","BLK-007."
"TCK-004","Lock outbound email to fake/sample mode","Privacy","P0","Blocked","TBH-007","Real outbound email cannot send.","BLK-006."
"TCK-005","Implement fake seed import","Data","P0","Ready","TBH-009","Fake records import and can be wiped.","None."
"TCK-006","Run role assignment and revoke proof","Access","P0","Hold","VOT-018","Revoked fake account loses access.","BLK-009."
"TCK-007","Run export/delete/archive proof","IDS/data","P0","Blocked","VOT-003","Fake data export/delete/archive evidence accepted.","BLK-003."
"TCK-008","Draft provider access terms","Provider","P0","Hold","VOT-011","Provider terms cover access, data, deletion, exit.","Provider quote."
"TCK-009","Create Barayamal minimum field schedule","Barayamal","P0","Blocked","VOT-015","Sensitive fields removed.","BLK-010."
"TCK-010","Create Toastmasters official-route boundary note","FN Toastmasters","P0","Blocked","VOT-005","Official route stays outside Decidim.","BLK-005."
"TCK-011","Write support/pause/withdrawal drill","Support","P0","Blocked","VOT-004","Support route passes tabletop.","BLK-004."
"TCK-012","Write privacy notice and consent text","Privacy","P0","Blocked","VOT-002","Notice accepted privately.","BLK-002."
"TCK-013","Prepare public-safe status update","Comms","P1","Ready","COM-001","Text says fake/sample and no launch.","Comms review."
"TCK-014","Set security monitoring and secrets policy","Security","P1","Blocked","VOT-020","No secrets public; audit route documented.","BLK-013."
"TCK-015","Prepare admin training handoff","Training","P1","Hold","TBH-018","Fake admin can complete key tasks.","Training owner."
"TCK-016","Create mobile/accessibility QA script","QA","P1","Hold","VOT-019","Critical participant flows pass mobile/access checks.","Reviewer assignment."
"TCK-017","Prepare no-go/archive public line","Closeout","P1","Ready","LAN-011","Archive/no-go can be published without private reasons.","Decision date."
"TCK-018","Bundle decision brief for owners","Closeout","P0","Hold","DAG-014","Votes, blockers, evidence, tickets, and comms reviewed.","Critical votes remain blocked."
