"id","template","status","channel","audience","safeMessage","avoid"
"COM-001","Public intake status","Ready","Public page","Public visitors","The project is preparing private intake controls with fake/sample data only.","Real participant launch is open."
"COM-002","Private invitation draft","Hold","Private email","Approved participants","Explains purpose, data, consent, support, withdrawal, and approval status.","Send before approvals pass."
"COM-003","Authority reviewer request","Hold","Private note","Authority owner","Requests private authority review with evidence folder path.","Publish authority materials."
"COM-004","Privacy/IDS reviewer request","Hold","Private note","Privacy and data reviewers","Requests field schedule and data control review.","Publish private review evidence."
"COM-005","Official Toastmasters boundary request","Hold","Private note","Official-route owner","Confirms official member/club records remain external.","Ask for member numbers."
"COM-006","Support route confirmation","Hold","Private note","Support owner","Confirms pause, withdrawal, complaint, and incident response routes.","Collect support details publicly."
"COM-007","Participant hold notice","Hold","Private email","Participant","Explains intake is on hold until approvals pass.","Imply rejection or publish status."
"COM-008","Withdrawal confirmation","Hold","Private email","Participant","Confirms withdrawal and retention/deletion next step.","Publish withdrawal."
"COM-009","No-go notice","Available","Private email","Private approvers","States private intake will not proceed and why at a safe summary level.","Publish private reason."
"COM-010","Second rehearsal notice","Available","Private note","Reviewers","Requests another fake-data rehearsal for unresolved blockers.","Invite real participants."
"COM-011","Limited private pilot notice","Not available","Private invitation","Approved participants","Only after all blocked approvals pass.","Send now."
"COM-012","Public learning update","Ready","Public page","Public visitors","Shares public-safe learning, counts, and hold decision.","Publish private evidence."
