"id","audience","status","messageType","approvedLine","prohibitedLine","owner"
"COM-001","Public website visitors","Ready","Status line","This is a public fake/sample demo and decision-prep package only.","A pilot has launched.","Comms lead"
"COM-002","Barayamal founders/business owners","Hold","Private preparation note","A fake/sample Barayamal workflow is being rehearsed privately.","Apply now with real business details.","Barayamal program operator"
"COM-003","First Nations Toastmasters guests","Hold","Private preparation note","A guest-only fake/sample workflow is being tested.","This is an official Toastmasters member process.","Training owner"
"COM-004","Toastmasters officials/officers","Blocked","Boundary request","Please confirm the official-route boundary before any member-adjacent workflow.","Decidim will manage official Toastmasters records.","Official-route owner"
"COM-005","Dean trusted reviewer","Ready","Advisory packet","Please review workflow quality and safety boundaries as advisory comments.","Please approve live launch.","Pilot owner"
"COM-006","Potential Decidim provider","Hold","RFQ/request","Quote a fake-data private sandbox with access, backup, delete, exit, and support terms.","Handle real participant data immediately.","Provider access owner"
"COM-007","Private decision owners","Hold","Meeting brief","Review votes, blockers, evidence, and handoff tasks before any route decision.","Silence means approval.","Meeting chair"
"COM-008","Community admins","Hold","Training note","Admin training will use fake/sample data only until critical owners pass.","You have live admin authority now.","Community admin trainer"
"COM-009","Funders/partners","Hold","Progress update","The project is in controlled decision and build-handoff preparation.","Live community decisions are underway.","Comms lead"
"COM-010","Public archive readers","Ready","No-go/archive option","The public demo may remain as a learning artefact if owners choose no-go or archive.","Private reasons or names.","Closeout archivist"
"COM-011","Technical maintainers","Ready","Ticket packet","Work only on fake/sample-safe P0/P1 tasks until gates close.","Create production accounts.","Technical/admin custodian"
"COM-012","Support owner","Blocked","Support drill","Support, pause, complaint, incident, and withdrawal routes must be privately drilled.","Support will be handled later.","Support owner"
