"id","message","audience","status","owner","safeText","mustNotInclude"
"COM46-001","Dean trusted reviewer invite","Dean trusted reviewer","Ready","Pilot owner","Please review v4.6 as advisory-only and route comments to owners.","Approval language."
"COM46-002","Barayamal controlled sample invite","Barayamal operators","Hold","Barayamal program operator","Please test fake founder/business-owner workflows only.","Real founder/business data."
"COM46-003","Toastmasters controlled sample invite","Training owner/testers","Hold","Training owner","Please test guest-only fake workflows; official member route remains closed.","Member numbers/payment/education records."
"COM46-004","Authority lock follow-up","Authority chair","Blocked","Meeting chair","Real intake remains blocked until authority route is approved privately.","Implied approval."
"COM46-005","Privacy and IDS lock follow-up","Privacy/IDS reviewers","Blocked","Pilot owner","Fields, access, export, deletion, and custody remain owner-gated.","Actual private records."
"COM46-006","Support readiness follow-up","Support owner","Blocked","Pilot owner","Support, withdrawal, complaint, and incident paths remain required.","Support case details."
"COM46-007","Technical build path request","Technical/admin custodian","Hold","Pilot owner","Please choose provider-assisted or self-build path and confirm dependencies.","Secrets, credentials, logs."
"COM46-008","Provider path request","Provider access owner","Hold","Pilot owner","Provider access remains conditional and revocable.","Provider credentials or private links."
"COM46-009","Public v4.6 release note","Public visitors","Ready","Comms lead","The public demo now includes a controlled fake/sample pilot execution pack.","Pilot is live/open."
"COM46-010","Public hold statement","Public visitors","Ready","Comms lead","Real participant intake and live Decidim access remain blocked.","Private evidence or reasons."
"COM46-011","No-go/archive statement","Public visitors","Available","Comms lead","A no-go or archive outcome can be published safely if owners choose it.","Private owner reasons."
"COM46-012","Backlog handoff note","Build team","Hold","Pilot owner","Only passed fake-data tasks can move into the live Decidim build sprint.","Permission to launch live access."
