"id","decision","status","condition","result"
"DEC-001","Open real private intake","Not available","All blocked approvals pass and support/access proofs are complete.","Not current."
"DEC-002","Hold","Recommended","Authority, privacy, IDS, official route, support, access, or retention controls remain blocked.","Current decision."
"DEC-003","Run second fake-data intake rehearsal","Recommended","Any blocked consent or intake control remains unresolved.","Likely next."
"DEC-004","Barayamal-only intake rehearsal","Available","Barayamal path can rehearse while Toastmasters official boundary remains blocked.","Possible fake-data only."
"DEC-005","Toastmasters guest-only rehearsal","Hold","Guest path can rehearse without official member records.","Needs official-route wording."
"DEC-006","Archive public package","Available","Private approval owners pause or decline.","Keep public concept."
"DEC-007","Provider-assisted private sandbox","Available","Self-build remains blocked but controls can be contracted.","Use private contract controls."
"DEC-008","No-go real intake","Available","Authority, privacy, IDS, support, official route, or safety owner declines.","Stop intake."
"DEC-009","Public update only","Available","Only public-safe learning is approved.","No real intake."
"DEC-010","Wait for support route","Recommended","Support, complaint, or incident route remains blocked.","Protect participants."
