id,lane,step,status,owner,evidence,drill,noGo
AD-001,Quorum,Confirm approval quorum,Required,Pilot authority,"Named authority, privacy reviewer, data reviewer, technical custodian, and safety reviewer are present or have delegated authority",Meeting cannot proceed without required roles,Approval is recorded without quorum
AD-002,Scope,Read activation scope aloud,Required,Pilot authority,"Purpose, participant group, exclusions, duration, data classes, and official Toastmasters boundary are restated",Scope matches v3.1 package,Pilot scope expands during the meeting
AD-003,Authority,Confirm developer custody boundary,Required,Barayamal / Dean Foley,Developer can maintain package and tooling but cannot substitute for First Nations authority,Boundary note included in record,Repository maintainer is treated as authority
AD-004,Data,Review IDS/data governance pass list,Required,Data reviewer,"Required IDS controls have pass, hold, owner, and evidence status",Hold items have owner and no activation exposure,Data controls are assumed complete without evidence
AD-005,Privacy,Review PIA and participant notice,Required,Privacy reviewer,"PIA checks, notice version, consent wording, withdrawal/correction, and retention rules are current",Notice/consent version recorded,Real intake opens on draft or stale wording
AD-006,Access,Test role access register,Required,Technical custodian,No-private-access roles cannot see private records; admin/reviewer access is named and expiring,Access test result recorded privately,Shared login or broad provider access exists
AD-007,Security,Run private environment drill,Required,Technical custodian,"MFA, backup/export/delete, log access, and recovery owner are checked",Drill result recorded privately,Static demo or public repo becomes system of record
AD-008,Incident,Run breach and cultural safety tabletop,Required,Safety reviewer,"Pause, containment, participant support, authority escalation, and notification assessment are rehearsed",Scenario outcome recorded without private details,No one can pause after an incident
AD-009,Official boundary,Confirm Toastmasters official route,Required,Toastmasters launch lead,"Charter forms, payments, member numbers, signatures, and official records remain outside this package",External route status recorded,Official records enter public or pilot workspace
AD-010,Public QA,Run public-summary redaction check,Required,QA reviewer,"Screenshots, CSVs, JSON, docs, and public update text contain fake/sample data only",Public-safe QA pass recorded,Public evidence identifies real people or context
AD-011,Support,Confirm participant support response clocks,Hold,Access support contact,"Withdrawal, correction, access support, and incident support have owner and response time",Support clock approved or hold recorded,Participants cannot get help or withdraw safely
AD-012,Advice,Check legal/privacy advice threshold,Hold,Pilot authority,"Formal advice route is known for high-risk uncertainty, breach questions, or official record handling",Advice trigger written into record,High-risk uncertainty is waived informally
AD-013,Decision,Draft go/hold/no-go decision record,Ready,Pilot authority,"Decision, conditions, holds, expiry, next review date, and no-go triggers are captured",Public status only; private evidence stays private,Decision happens in chat only
AD-014,Monitor,Schedule first 72-hour monitoring review,Ready,Pilot operator,"Post-activation checks, support route, incident watch, access review, and closeout trigger are scheduled",Monitoring dates recorded,Activation opens with no early review
