"id","step","status","owner","purpose","privateRecord","publicBoundary"
"JRN-001","Read public agreement pack","Ready","Public visitor","Review public-safe joining terms before any private intake.","Public page","No real data submitted."
"JRN-002","Request private intake link","Hold","Organisation lead","Ask for private intake route through approved contact.","Private request channel","No public contact form."
"JRN-003","Authority owner verifies path","Blocked","Authority chair","Confirm the organisation or tester can enter the private pathway.","Private authority record","No authority minutes in public repo."
"JRN-004","Privacy and IDS field check","Blocked","Privacy and IDS reviewers","Approve minimum fields, retention, export, deletion, and access.","Private review note","No private evidence in public pack."
"JRN-005","Official Toastmasters boundary check","Blocked","Official-route owner","Confirm member and club records stay outside Decidim unless approved.","Official-route statement","No member numbers."
"JRN-006","Plain-language consent preview","Hold","Participant support owner","Show what is collected, why, who sees it, and how to withdraw.","Private notice preview","No consent evidence public."
"JRN-007","Support and withdrawal route check","Blocked","Support owner","Confirm pause, withdrawal, complaint, incident, and correction routes.","Private support protocol","No support details public."
"JRN-008","Fake-data intake rehearsal","Ready","Technical custodian","Run the intake flow with fake accounts and sample records only.","Private sandbox","No real participant data."
"JRN-009","Triage case review","Hold","Triage reviewer","Classify each fake intake as proceed, hold, decline, redirect, or needs support.","Private triage board","No identity details public."
"JRN-010","Access provisioning proof","Hold","Technical custodian","Prove least-privilege access, revoke, backup, export, and delete.","Private access register","No credentials or logs public."
"JRN-011","Participant confirmation","Blocked","Consent owner","Confirm consent, support route, withdrawal, and data rights privately.","Private consent record","No signatures public."
"JRN-012","Reviewer signoff packet","Hold","Private approvers","Review approval tickets and unresolved risks.","Private signoff packet","Public status only."
"JRN-013","Pilot intake decision","Hold","Authority chair","Choose hold, second rehearsal, limited private pilot, archive, or no-go.","Private decision record","No private decision evidence public."
"JRN-014","Public-safe update","Ready","Comms lead","Publish what was tested and what remains blocked.","Public update","No private participant details."
