"id","check","owner","status","evidence","failResult"
"QRM-001","Authority owner present or delegated","Authority chair","Blocked","Private authority delegate note.","Decision cannot approve real intake."
"QRM-002","Privacy owner present or delegated","Privacy reviewer","Blocked","Privacy delegate note.","Private invite gate remains blocked."
"QRM-003","IDS/data owner present or delegated","IDS/data reviewer","Blocked","IDS/data delegate note.","Real data processing blocked."
"QRM-004","Support owner present or delegated","Support owner","Blocked","Support delegate note.","Private invite gate remains blocked."
"QRM-005","Official Toastmasters boundary owner present","Official-route owner","Blocked","Official-route note.","Toastmasters member workflow blocked."
"QRM-006","Barayamal controlled sample owner present","Barayamal program operator","Hold","Barayamal sample note.","Barayamal lane remains hold."
"QRM-007","Dean advisory input available","Dean Foley / Barayamal","Ready","Advisory register.","Advisory input can be deferred."
"QRM-008","Technical/admin custodian present","Technical/admin custodian","Hold","Technical handoff.","Build route held."
"QRM-009","Provider access owner present","Provider access owner","Hold","Provider access boundary.","Provider RFQ held."
"QRM-010","Security reviewer present","Security reviewer","Blocked","Security plan.","Build handoff held."
"QRM-011","Comms lead present","Comms lead","Ready","Public status lines.","No public update."
"QRM-012","Closeout archivist present","Closeout archivist","Ready","Archive plan.","No-go/archive wording held."
"QRM-013","Meeting chair and minutes keeper present","Meeting chair","Ready","Minutes template.","Meeting cannot record formal outcome."
"QRM-014","Action owner list confirmed","Pilot owner","Hold","Owner action register.","Actions remain unassigned."
