"id","order","agendaItem","track","status","chairPrompt","requiredEvidence","meetingOutput"
"MTG-001","1","Open private owner decision meeting","Meeting","Ready","Confirm private meeting, fake/sample-only scope, and no live approval by default.","v4.9 pack and owner list.","Meeting opened with boundary readout."
"MTG-002","2","Confirm quorum and authority coverage","Authority","Blocked","Check whether each critical owner is present or has delegated authority.","Quorum checklist.","Quorum passed or decision held."
"MTG-003","3","Accept v4.8 handoff evidence","Evidence","Ready","Confirm v4.8 evidence is adequate for meeting review.","v4.8 package and evidence map.","Evidence accepted for discussion only."
"MTG-004","4","Record Dean advisory input","Dean review","Ready","Record Dean comments as advisory input and route them to owners.","Advisory comment register.","Advisory comments logged without approval power."
"MTG-005","5","Authority vote","Authority","Blocked","Ask whether authority evidence supports the next lane.","Private authority note.","Authority pass, hold, no, or abstain."
"MTG-006","6","Privacy and consent vote","Privacy","Blocked","Ask whether notice, consent, withdrawal, retention, breach, and email locks are acceptable.","Privacy review pack.","Privacy pass, hold, no, or abstain."
"MTG-007","7","IDS/data governance vote","IDS/data","Blocked","Ask whether custody, export, delete, archive, and retention evidence is adequate.","Lifecycle proof note.","IDS/data pass, hold, no, or abstain."
"MTG-008","8","Support and safety vote","Support","Blocked","Ask whether pause, complaint, incident, and withdrawal paths are ready.","Support drill record.","Support pass, hold, no, or abstain."
"MTG-009","9","Official Toastmasters boundary vote","FN Toastmasters","Blocked","Confirm member, education, payment, election, and official record routes stay outside Decidim.","Official-route boundary note.","Official-route pass, hold, no, or abstain."
"MTG-010","10","Barayamal controlled sample vote","Barayamal","Hold","Decide whether Barayamal fake founder/business workflows can repeat or prepare privately.","Barayamal sample note and minimisation review.","Barayamal lane decision."
"MTG-011","11","Decidim build route decision","Decidim build","Hold","Choose provider-assisted sandbox RFQ, self-build dependency prep, hold, no-go, or archive.","Technical handoff and local dependency status.","Build route decision."
"MTG-012","12","Provider RFQ approval","Provider","Hold","Approve fake/sample-only RFQ questions and provider access boundaries.","RFQ schedule.","RFQ approved, held, or blocked."
"MTG-013","13","Implementation ticket import approval","Build handoff","Hold","Approve P0/P1 tickets that are safe to work with fake/sample data.","Ticket import pack.","Ticket pack approved, held, or blocked."
"MTG-014","14","Public status line approval","Comms","Ready","Approve public-safe status line or choose no update.","Public status line register.","Public line approved or held."
"MTG-015","15","No-go/archive route","Closeout","Ready","Confirm safe no-go/archive route remains available.","Archive plan.","No-go/archive route accepted."
"MTG-016","16","Close minutes and owner action register","Meeting","Hold","Record actions, blockers, due dates, and next meeting trigger.","Minutes template and action register.","Private minutes and action register created."
