"id","session","track","status","runOrder","prompt","expectedEvidence","stopRule"
"SCR-001","Boundary readout","Cross-track","Ready","1","State fake/sample-only purpose, no real intake, no official Toastmasters process, and no live Decidim approval.","Attendee acknowledgement.","Any participant expects a real service."
"SCR-002","Data check","Cross-track","Ready","2","Ask each facilitator to confirm all records are fake, minimised, and safe for public demo.","Sample-data check note.","Real record appears."
"SCR-003","Dean advisory pass","Dean review","Ready","3","Dean reviews clarity, workflow, build path, and safety boundaries as comments only.","Comment register.","Advisory comment treated as approval."
"SCR-004","Barayamal onboarding case","Barayamal","Hold","4","Run fake founder onboarding and minimum business profile.","Completed sample form and issue notes.","Sensitive business field requested."
"SCR-005","Barayamal program case","Barayamal","Ready","5","Run mentor interest, program priority proposal, event poll, and resource suggestion.","Aggregate sample outputs.","Real contact exchange begins."
"SCR-006","Barayamal feedback case","Barayamal","Hold","6","Run feedback, support routing, and no-go rehearsal.","Support route evidence.","Support concern lacks owner."
"SCR-007","Toastmasters guest case","FN Toastmasters","Hold","7","Run guest interest, agenda proposal, role sign-up, and welcome sequence.","Guest-only sample output.","Official membership route implied."
"SCR-008","Toastmasters feedback case","FN Toastmasters","Hold","8","Run speaking goal, feedback form, reflection, and withdrawal rehearsal.","Feedback route evidence.","Personal critique or incident detail appears."
"SCR-009","Official route check","FN Toastmasters","Blocked","9","Confirm officer election, member record, education, and payment workflows remain outside Decidim.","Boundary decision note.","Official workflow is activated."
"SCR-010","Access revoke proof","Access","Hold","10","Assign and revoke a fake role; confirm access is removed.","Revoke test result.","Revoked account still has access."
"SCR-011","Lifecycle proof","Decidim build","Hold","11","Run fake data export, backup, restore, deletion, and archive status checks.","Lifecycle proof note.","Deletion/export cannot be proven."
"SCR-012","Comms redaction proof","Comms","Ready","12","Draft public-safe update with no private evidence or approval language.","Redaction result.","Public wording overstates readiness."
"SCR-013","Issue triage","Cross-track","Ready","13","Route every issue to owner, severity, action, and decision right.","Triage board updated.","Issue remains ownerless."
"SCR-014","Closeout decision","Closeout","Hold","14","Use scorecard to choose hold, repeat, provider route, limited private pilot, no-go, or archive.","Private decision brief.","Decision overrides blocked critical owners."
