id,gate,track,status,owner,passCondition,blockedBy,nextAction,publicBoundary
"GAT-001","Authority pathway gate","Cross-track","Blocked","First Nations authority chair","Authority owner approves pathway and decision method.","No private authority record.","Schedule private authority review.","No authority minutes public."
"GAT-002","Privacy field schedule gate","Cross-track","Blocked","Privacy reviewer","Minimum fields, notice, retention, correction, deletion pass.","Field schedule not approved.","Review v4.2 field map privately.","No private fields public."
"GAT-003","IDS/data governance gate","Cross-track","Blocked","IDS/data governance reviewer","Control, access, storage, export, delete, return pass.","Data governance decision missing.","Hold data owner meeting.","No IDS evidence public."
"GAT-004","Support and incident route gate","Cross-track","Blocked","Support and safety owner","Pause, withdrawal, complaint, incident, correction routes pass.","Support owner not signed.","Confirm support owner and safe stop rule.","No support details public."
"GAT-005","Official Toastmasters boundary gate","FN Toastmasters","Blocked","Official Toastmasters route owner","Official membership, education, payment, club records stay external unless accepted.","Official-route owner not signed.","Hold member route; consider guest-only rehearsal.","No official records public."
"GAT-006","Barayamal sample pathway gate","Barayamal","Hold","Barayamal program operator","Founder/business-owner sample route uses fake data and minimised fields.","Business-sensitive field rule pending.","Approve Barayamal-only fake-data scenario.","No business-sensitive details public."
"GAT-007","Dean trusted reviewer boundary gate","Cross-track","Ready","Pilot owner","Dean advisory role cannot substitute for owner approval.","None.","Record advisory comments only.","Advisory, not approval."
"GAT-008","Technical access and revoke gate","Cross-track","Hold","Technical/admin custodian","Least privilege, revoke, access register, admin role review pass.","Private access proof pending.","Run fake-data access proof.","No credentials or logs public."
"GAT-009","Backup/restore/export/delete gate","Cross-track","Hold","Technical/admin custodian","Restore, export, delete, and closeout proof pass.","Technical proof pending.","Run sandbox operations test.","No backups or exports public."
"GAT-010","Retention and archive gate","Cross-track","Blocked","Privacy and IDS reviewers","Retention, archive, delete, withdrawal closeout pass.","Retention/deletion rule missing.","Approve retention schedule privately.","Public status only."
"GAT-011","Consent evidence handling gate","Cross-track","Blocked","Consent owner","Consent evidence stored privately and not in public repo.","Consent evidence store not approved.","Approve consent evidence path.","No signatures public."
"GAT-012","Training readiness gate","Cross-track","Hold","Training/facilitation owner","Facilitators understand role, support, escalation, public/private boundary.","Training completion pending.","Run fake-data role briefing.","Aggregate status only."
"GAT-013","Provider access boundary gate","Cross-track","Hold","Provider access owner","Provider access is contract-bound, limited, logged, and revocable.","Provider role not decided.","Decide self-build vs provider support.","No provider logs public."
"GAT-014","Public update gate","Cross-track","Ready","Comms lead","Public update says fake/sample only and does not imply launch.","None.","Publish hold status and learning only.","No private evidence."
"GAT-015","Fake-data sandbox gate","Cross-track","Ready","Technical/admin custodian","Fake accounts and fake records are ready to test approval flow.","None.","Run approval-room rehearsal.","No real records."
"GAT-016","Pilot launch decision gate","Cross-track","Hold","Authority chair","All blocked gates pass or real launch is formally held/no-go.","Multiple blocked gates.","Hold real intake; run private approval meeting.","Decision status only."
