id,action,status,owner,dueStage,acceptance,publicBoundary
"ACT-001","Schedule private approval meeting","Next","Pilot owner","Before any new rehearsal","Meeting owner, agenda, and attendee rules confirmed.","Public status only."
"ACT-002","Confirm authority owner","Blocked","Authority chair","Before decision meeting","Authority chair accepts role privately.","No minutes public."
"ACT-003","Review privacy field schedule","Blocked","Privacy reviewer","Before fake-data meeting","Field schedule accepted or changed.","No fields evidence public."
"ACT-004","Review IDS/data controls","Blocked","IDS/data reviewer","Before fake-data meeting","Control/access/retention/export/delete terms accepted.","No governance evidence public."
"ACT-005","Confirm official Toastmasters boundary","Blocked","Official-route owner","Before member route","Guest/member/official-record route accepted.","No member records public."
"ACT-006","Confirm support owner and safe stop","Blocked","Support owner","Before real intake","Pause/withdrawal/complaint/incident route passes.","No support details public."
"ACT-007","Run access/revoke proof","Hold","Technical/admin custodian","Before sandbox rehearsal","Fake account access and revoke proof passes.","No logs public."
"ACT-008","Run backup/export/delete proof","Hold","Technical/admin custodian","Before sandbox rehearsal","Fake-data proof passes.","No backups public."
"ACT-009","Approve Barayamal sample fields","Hold","Barayamal program operator","Before Barayamal-only rehearsal","Business-sensitive fields minimised.","No business details public."
"ACT-010","Draft guest-only Toastmasters wording","Hold","Official-route owner","Before guest-only rehearsal","No implied membership wording accepted.","No official records public."
"ACT-011","Brief Dean reviewer boundary","Ready","Pilot owner","Before advisory review","Dean advisory lane labelled clearly.","Advisory only."
"ACT-012","Prepare public hold update","Ready","Comms lead","Before public release","Public wording is accurate and not over-claiming.","No private evidence."
"ACT-013","Prepare training script","Hold","Training owner","Before decision meeting","Facilitator roles and safe stop script ready.","Aggregate only."
"ACT-014","Decide provider support route","Hold","Provider access owner","Before technical build decision","Self-build/provider boundary decided.","No provider logs public."
"ACT-015","Close blocked-ticket register","Next","Pilot owner","After decision meeting","Each ticket is pass/hold/no-go/archive with owner.","Status only."
"ACT-016","Update public package","Next","Comms lead","After decision meeting","Publish public-safe outcome.","No private records."
