id,linkedAcceptance,linkedHandoff,area,priority,owner,acceptanceState,privateEvidenceReference,redactionDecision,requiredFix,publicSafeLine
EVA-001,ACC-001,HOF-001,Authority,P0,Authority chair,Blocked,Private evidence packet for OSP-001: Private authority roster and minute placeholder.,Capture a private evidence reference only; exclude private contents from public package.,Add accepted private authority minute reference.,Authority remains private and unresolved; no pilot has been approved.
EVA-002,ACC-002,HOF-002,Privacy,P0,Privacy reviewer,Blocked,Private evidence packet for OSP-002: Private privacy copy approval.,Capture a private evidence reference only; exclude private contents from public package.,"Add consent, withdrawal, and outbound-contact acceptance proof.",Privacy and consent controls remain under private owner review.
EVA-003,ACC-003,HOF-003,Privacy,P0,Privacy reviewer,Blocked,Private evidence packet for OSP-003: Disabled outbound-email proof.,Capture a private evidence reference only; exclude private contents from public package.,"Add consent, withdrawal, and outbound-contact acceptance proof.",No outbound email is active for real participants.
EVA-004,ACC-004,HOF-004,IDS/data,P0,IDS/data reviewer,Hold,Private evidence packet for OSP-004: Private data-rights drill evidence placeholder.,Capture a private evidence reference only; exclude private contents from public package.,"Add custody, deletion, and export evidence linkage.","Data export, deletion, and retention controls remain under private review."
EVA-005,ACC-005,HOF-005,Support,P0,Support owner,Hold,Private evidence packet for OSP-005: Private support drill minute.,Capture a private evidence reference only; exclude private contents from public package.,Keep accepted evidence sample-only and privately referenced.,Support routes are not live services.
EVA-006,ACC-006,HOF-006,Official boundary,P0,Official-route owner,Accepted with sample limits,Private evidence packet for OSP-006: Private official-boundary note.,Capture a private evidence reference only; exclude private contents from public package.,Keep accepted evidence sample-only and privately referenced.,First Nations Toastmasters remains a fake/sample guest and boundary tester only.
EVA-007,ACC-007,HOF-007,Evidence,P0,IDS/data reviewer,Hold,Private evidence packet for OSP-007: Private custody index.,Capture a private evidence reference only; exclude private contents from public package.,Keep accepted evidence sample-only and privately referenced.,Private evidence is not published in the public package.
EVA-008,ACC-008,HOF-008,Provider,P0,Provider access owner,Blocked,Private evidence packet for OSP-008: Provider refusal proof and RFQ boundary approval.,Capture refusal/RFQ boundary only; exclude real provider records and real datasets.,Add refusal/RFQ proof that excludes all real records.,"No provider has access to real participant, organisation, or Toastmasters records."
EVA-009,ACC-009,HOF-009,FN Toastmasters,P1,Training owner,Accepted with sample limits,Private evidence packet for OSP-009: Private copy review.,"Capture fake guest/member-boundary evidence only; exclude official member, payment, officer, club, incident, election, and education records.",Keep accepted evidence sample-only and privately referenced.,First Nations Toastmasters sample records do not represent official member services.
EVA-010,ACC-010,HOF-010,Security,P1,Security reviewer,Hold,Private evidence packet for OSP-010: Private security proof references.,Capture a private evidence reference only; exclude private contents from public package.,Keep accepted evidence sample-only and privately referenced.,No live Decidim access is approved by this public demo.
EVA-011,ACC-011,HOF-011,Access,P1,Security reviewer,Hold,Private evidence packet for OSP-011: Private access expiry proof.,Capture a private evidence reference only; exclude private contents from public package.,Keep accepted evidence sample-only and privately referenced.,No live admin access is approved by this public demo.
EVA-012,ACC-012,HOF-012,Provider,P1,Provider access owner,Blocked,Private evidence packet for OSP-012: Private RFQ approval reference.,Capture refusal/RFQ boundary only; exclude real provider records and real datasets.,Add refusal/RFQ proof that excludes all real records.,Provider or self-build options remain under fake/sample-only review.
EVA-013,ACC-013,HOF-013,Owners,P2,Meeting chair,Hold,Private evidence packet for OSP-013: Private quorum roster.,Capture a private evidence reference only; exclude private contents from public package.,Keep accepted evidence sample-only and privately referenced.,Named owners must approve their own gates privately.
EVA-014,ACC-014,HOF-014,Barayamal,P2,Barayamal custodian,Accepted with sample limits,Private evidence packet for OSP-014: Private Barayamal sample review.,"Capture fake founder/business-owner evidence only; exclude real ABNs, revenue, contacts, clients, private business records, and cultural material.",Keep accepted evidence sample-only and privately referenced.,Barayamal remains a controlled fake/sample organisation test path.
EVA-015,ACC-015,HOF-015,Communications,P2,Comms lead,Hold,Private evidence packet for OSP-015: Private comms approval reference.,Capture a private evidence reference only; exclude private contents from public package.,Keep accepted evidence sample-only and privately referenced.,The public demo remains a fake/sample preparation tool; no live pilot has been approved.
EVA-016,ACC-016,HOF-016,Documentation,P2,Documentation owner,Hold,Private evidence packet for OSP-016: Generated v5.5 package manifest.,Capture a private evidence reference only; exclude private contents from public package.,Keep accepted evidence sample-only and privately referenced.,The demo now includes an owner closeout sprint layer.
EVA-017,ACC-017,HOF-017,Final minutes,P0,Meeting chair,Hold,Private evidence packet for OSP-017: Private final minute placeholder.,Capture a private evidence reference only; exclude private contents from public package.,Keep accepted evidence sample-only and privately referenced.,"The next valid step is closeout sprint, repeat testing, or no-go/archive."
EVA-018,ACC-018,HOF-018,Repeat run,P1,Meeting chair,Hold,Private evidence packet for OSP-018: Private calendar hold and stop trigger register.,Capture a private evidence reference only; exclude private contents from public package.,Keep accepted evidence sample-only and privately referenced.,Preparation continues; no pilot has been approved.
